"","ufn","sample_type","storage_medium","sample_id","container_id","container_cell","sample_location","comments_sample","sample_status","sample_qc_flag","sample_flag_reason","sample_qc_log","current_location","storage_unit","date_processed","species","weight","standard_length","fork_length","survey_id","survey_date","site_id","region","zone","site_name","seine_id","set_time","lat","lon","lab_count_motiles","cm_lab","cpaf_lab","caf_lab","cgf_lab","lgf_lab","laf_lab","lpaf_lab","lpam_lab","lam_lab","ucal_lab","ulep_lab"
"11","U4256","sealice_cal","frozen -80","SLC4656","BLC1",23,"BLC1-23",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-30,"SO",9.5,"92",97,"JE261",2016-06-04,"J03","JS","N","Cracroft Point","JN361",13:44:00,50.543029,-126.632233,2,1,1,0,0,0,0,0,0,0,0,0
"12","U4257","sealice_cal","frozen -80","SLC4657","BLC1",25,"BLC1-25",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-08-30,"SO",9.4,"96",NA,"JE261",2016-06-04,"J03","JS","N","Cracroft Point","JN361",13:44:00,50.543029,-126.632233,1,0,0,1,0,0,0,0,0,0,0,0
"13","U4260","sealice_cal","frozen -80","SLC4660","BLC1",27,"BLC1-27",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-05,"SO",10.6,"98",103,"JE266",2016-06-10,"J03","JS","N","Cracroft Point","JN366",08:07:00,50.547475,-126.676942,2,0,2,0,0,0,0,0,0,0,0,0
"14","U4267","sealice_cal","frozen -80","SLC4667","BLC1",29,"BLC1-29",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-05,"SO",9.1,"99",NA,"JE266",2016-06-10,"J03","JS","N","Cracroft Point","JN366",08:07:00,50.547475,-126.676942,2,2,0,0,0,0,0,0,0,0,0,0
"15","U4205","sealice_cal","frozen -80","SLC4605","BLC1",32,"BLC1-32",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-08,"SO",7.4,"92",96,"DE287",2016-05-26,"D07","DI","C","Hoskyn Channel","DN387",11:06:00,50.190737,-125.143169,1,0,1,0,0,0,0,0,0,0,0,0
"16","U4206","sealice_cal","frozen -80","SLC4606","BLC1",34,"BLC1-34",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-08,"SO",5.8,"80",84,"DE287",2016-05-26,"D07","DI","C","Hoskyn Channel","DN387",11:06:00,50.190737,-125.143169,1,1,0,0,0,0,0,0,0,0,0,0
"17","U4208","sealice_cal","frozen -80","SLC4608","BLC1",36,"BLC1-36",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-08,"SO",6.1,"81",85,"DE287",2016-05-26,"D07","DI","C","Hoskyn Channel","DN387",11:06:00,50.190737,-125.143169,1,1,0,0,0,0,0,0,0,0,0,0
"18","U4272","sealice_cal","frozen -80","SLC4672","BLC1",38,"BLC1-38",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-08,"SO",6.2,"86",91,"DE287",2016-05-26,"D07","DI","C","Hoskyn Channel","DN387",11:06:00,50.190737,-125.143169,2,1,0,0,0,0,0,0,0,0,1,0
"19","U4300","sealice_cal","frozen -80","SLC4700","BLC1",40,"BLC1-40",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-08,"SO",7.1,"87",91,"DE287",2016-05-26,"D07","DI","C","Hoskyn Channel","DN387",11:06:00,50.190737,-125.143169,2,0,2,0,0,0,0,0,0,0,0,0
"20","U4290","sealice_cal","frozen -80","SLC4690","BLC1",41,"BLC1-41",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-14,"SO",7.5,"90",95,"DE287",2016-05-26,"D07","DI","C","Hoskyn Channel","DN387",11:06:00,50.190737,-125.143169,1,1,0,0,0,0,0,0,0,0,0,0
"21","U4292","sealice_cal","frozen -80","SLC4692","BLC1",43,"BLC1-43",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-15,"SO",9.2,"94",NA,"DE322",2016-06-14,"D09","DI","C","Okisollo Channel","DN422",14:20:00,50.307203,-125.332605,1,1,0,0,0,0,0,0,0,0,0,0
"22","U4177","sealice_cal","frozen -80","SLC4577","BLC1",45,"BLC1-45",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-15,"SO",8.9,"94",99,"DE322",2016-06-14,"D09","DI","C","Okisollo Channel","DN422",14:20:00,50.307203,-125.332605,1,0,0,1,0,0,0,0,0,0,0,0
"23","U4307","sealice_cal","frozen -80","SLC4707","BLC1",47,"BLC1-47",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-15,"SO",6.8,"89",94,"JE274",2016-06-18,"J09","JS","S","Blinkhorn Peninsula","JN374",06:37:00,50.579393,-126.714162,4,0,3,0,1,0,0,0,0,0,0,0
"24","U4308","sealice_cal","frozen -80","SLC4708","BLC1",49,"BLC1-49",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-15,"SO",6.6,"87",91,"JE274",2016-06-18,"J09","JS","S","Blinkhorn Peninsula","JN374",06:37:00,50.579393,-126.714162,5,1,2,0,1,0,0,1,0,0,0,0
"25","U4184","sealice_cal","frozen -80","SLC4584","BLC1",52,"BLC1-52",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-18,"SO",9.7,"95",100,"JE274",2016-06-18,"J09","JS","S","Blinkhorn Peninsula","JN374",06:37:00,50.579393,-126.714162,1,1,0,0,0,0,0,0,0,0,0,0
"26","U4186","sealice_cal","frozen -80","SLC4586","BLC1",54,"BLC1-54",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-18,"SO",6.5,"81",87,"DE290",2016-05-27,"D09","DI","C","Okisollo Channel","DN391",12:32:00,50.304166,-125.333511,1,1,0,0,0,0,0,0,0,0,0,0
"27","U4310","sealice_cal","frozen -80","SLC4710","BLC1",56,"BLC1-56",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-18,"SO",8.5,"94",99,"DE290",2016-05-27,"D09","DI","C","Okisollo Channel","DN391",12:32:00,50.304166,-125.333511,2,1,1,0,0,0,0,0,0,0,0,0
"28","U4189","sealice_cal","frozen -80","SLC4589","BLC1",58,"BLC1-58",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-18,"SO",10,"101",106,"DE290",2016-05-27,"D09","DI","C","Okisollo Channel","DN391",12:32:00,50.304166,-125.333511,1,0,0,0,0,0,0,0,0,0,1,0
"29","U4311","sealice_cal","frozen -80","SLC4711","BLC1",60,"BLC1-60",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-18,"SO",8.2,"95",100,"DE290",2016-05-27,"D09","DI","C","Okisollo Channel","DN391",12:32:00,50.304166,-125.333511,1,0,0,0,0,0,0,0,0,0,1,0
"30","U4195","sealice_cal","frozen -80","SLC4595","BLC1",61,"BLC1-61",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-19,"SO",6.3,"82",87,"DE290",2016-05-27,"D09","DI","C","Okisollo Channel","DN391",12:32:00,50.304166,-125.333511,2,0,1,0,0,0,0,0,0,0,1,0
"31","U4314","sealice_cal","frozen -80","SLC4714","BLC1",63,"BLC1-63",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-19,"SO",8.7,"95",NA,"DE320",2016-06-14,"D22","DI","E","McMullen Point","DN420",08:47:00,50.235322,-125.39888,5,0,1,2,2,0,0,0,0,0,0,0
"32","U4197","sealice_cal","frozen -80","SLC4597","BLC1",65,"BLC1-65",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-19,"SO",10.9,"97",NA,"DE320",2016-06-14,"D22","DI","E","McMullen Point","DN420",08:47:00,50.235322,-125.39888,2,1,1,0,0,0,0,0,0,0,0,0
"33","U4316","sealice_cal","frozen -80","SLC4716","BLC1",67,"BLC1-67",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-19,"SO",12.9,"105",110,"DE320",2016-06-14,"D22","DI","E","McMullen Point","DN420",08:47:00,50.235322,-125.39888,2,1,0,0,0,0,0,0,0,0,1,0
"34","U4213","sealice_cal","frozen -80","SLC4613","BLC1",69,"BLC1-69",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-18,"SO",7.3,"90",95,"JE251",2016-05-28,"J03","JS","N","Cracroft Point","JN351",09:10:00,50.545897,-126.668909,1,1,0,0,0,0,0,0,0,0,0,0
"35","U4348","sealice_cal","frozen -80","SLC4748","BLC1",72,"BLC1-72",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-19,"SO",7.7,"87",92,"JE251",2016-05-28,"J03","JS","N","Cracroft Point","JN351",09:10:00,50.545897,-126.668909,1,0,1,0,0,0,0,0,0,0,0,0
"36","U4351","sealice_cal","frozen -80","SLC4751","BLC1",74,"BLC1-74",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-21,"SO",5.5,"82",NA,"JE237",2016-05-22,"J09","JS","S","Blinkhorn Peninsula","JN337",05:06:00,50.543296,-126.816816,1,0,0,0,0,0,0,0,0,0,1,0
"37","U4215","sealice_cal","frozen -80","SLC4615","BLC1",76,"BLC1-76",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-21,"SO",13.2,"111",NA,"JE237",2016-05-22,"J09","JS","S","Blinkhorn Peninsula","JN337",05:06:00,50.543296,-126.816816,1,0,0,0,1,0,0,0,0,0,0,0
"38","U4353","sealice_cal","frozen -80","SLC4753","BLC1",78,"BLC1-78",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-21,"SO",20.5,"129",NA,"JE237",2016-05-22,"J09","JS","S","Blinkhorn Peninsula","JN337",05:06:00,50.543296,-126.816816,1,1,0,0,0,0,0,0,0,0,0,0
"39","U4320","sealice_cal","frozen -80","SLC4720","BLC1",81,"BLC1-81",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-20,"SO",13.4,"110",NA,"JE237",2016-05-22,"J09","JS","S","Blinkhorn Peninsula","JN337",05:06:00,50.543296,-126.816816,1,1,0,0,0,0,0,0,0,0,0,0
"40","U4321","sealice_cal","frozen -80","SLC4721","BLC1",83,"BLC1-83",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-20,"SO",13,"114",NA,"JE237",2016-05-22,"J09","JS","S","Blinkhorn Peninsula","JN337",05:06:00,50.543296,-126.816816,1,0,0,0,1,0,0,0,0,0,0,0
"41","U4325","sealice_cal","frozen -80","SLC4725","BLC1",85,"BLC1-85",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-21,"SO",12.7,"110",NA,"JE237",2016-05-22,"J09","JS","S","Blinkhorn Peninsula","JN337",05:06:00,50.543296,-126.816816,3,1,1,0,1,0,0,0,0,0,0,0
"42","U4333","sealice_cal","frozen -80","SLC4733","BLC1",87,"BLC1-87",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-21,"SO",6.8,"86",NA,"DE279",2016-05-23,"D22","DI","E","McMullen Point","DN380",13:25:00,50.224106,-125.395004,1,0,1,0,0,0,0,0,0,0,0,0
"43","U4363","sealice_cal","frozen -80","SLC4763","BLC1",89,"BLC1-89",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-21,"SO",11.7,"107",112,"DE263",2016-05-15,"D22","DI","E","McMullen Point","DN363",09:50:00,50.243454,-125.398108,1,0,0,0,0,0,0,0,0,0,1,0
"44","U4369","sealice_cal","frozen -80","SLC4769","BLC1",90,"BLC1-90",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-22,"SO",10.1,"100",105,"DE263",2016-05-15,"D22","DI","E","McMullen Point","DN363",09:50:00,50.243454,-125.398108,1,0,1,0,0,0,0,0,0,0,0,0
"45","U4341","sealice_cal","frozen -80","SLC4741","BLC2",1,"BLC2-1",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-25,"SO",7.2,"91",NA,"DE263",2016-05-15,"D22","DI","E","McMullen Point","DN363",09:50:00,50.243454,-125.398108,1,1,0,0,0,0,0,0,0,0,0,0
"46","U3851","sealice_cal","frozen -80","SLC4251","BLC2",2,"BLC2-2",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-01,"PI",17.9,"113",NA,"JE286",2016-06-23,"J03","JS","N","Cracroft Point","JN386",16:17:00,50.55803,-126.73463,1,0,0,1,0,0,0,0,0,0,0,0
"47","U4365","sealice_cal","frozen -80","SLC4765","BLC2",3,"BLC2-3",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-25,"SO",8.7,"97",102,"DE263",2016-05-15,"D22","DI","E","McMullen Point","DN363",09:50:00,50.243454,-125.398108,1,0,0,0,1,0,0,0,0,0,0,0
"48","U3850","sealice_cal","frozen -80","SLC4250","BLC2",4,"BLC2-4",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-01,"PI",12.2,"105",111,"JE286",2016-06-23,"J03","JS","N","Cracroft Point","JN386",16:17:00,50.55803,-126.73463,2,0,0,0,2,0,0,0,0,0,0,0
"49","U4343","sealice_cal","frozen -80","SLC4743","BLC2",5,"BLC2-5",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-25,"SO",8.2,"90",95,"JE251",2016-05-28,"J03","JS","N","Cracroft Point","JN351",09:10:00,50.545897,-126.668909,1,0,0,1,0,0,0,0,0,0,0,0
"50","U4912","sealice_cal","frozen -80","SLC5412","BLC2",6,"BLC2-6",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-06,"PI",9.5,"93",97,"JE276",2016-06-18,"J03","JS","N","Cracroft Point","JN376",13:42:00,50.546326,-126.669166,1,0,0,0,1,0,0,0,0,0,0,0
"51","U4368","sealice_cal","frozen -80","SLC4768","BLC2",7,"BLC2-7",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-25,"SO",9.4,"94",98,"JE251",2016-05-28,"J03","JS","N","Cracroft Point","JN351",09:10:00,50.545897,-126.668909,1,0,0,0,1,0,0,0,0,0,0,0
"52","U4902","sealice_cal","frozen -80","SLC5402","BLC2",8,"BLC2-8",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-02,"PI",17.2,"114",120,"JE286",2016-06-23,"J03","JS","N","Cracroft Point","JN386",16:17:00,50.55803,-126.73463,4,0,0,0,2,2,0,0,0,0,0,0
"53","U4419","sealice_cal","frozen -80","SLC4819","BLC2",9,"BLC2-9",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-25,"SO",10.3,"92",97,"DE320",2016-06-14,"D22","DI","E","McMullen Point","DN420",08:47:00,50.235322,-125.39888,1,0,1,0,0,0,0,0,0,0,0,0
"54","U4904","sealice_cal","frozen -80","SLC5404","BLC2",10,"BLC2-10",NA,"collected","Y","duplicate sample vial location",NA,"UBC EOAS",NA,2017-11-02,"PI",7.1,"85",89,"JE261",2016-06-04,"J03","JS","N","Cracroft Point","JN361",13:44:00,50.543029,-126.632233,2,0,0,0,2,0,0,0,0,0,0,0
"55","U4026","sealice_cal","frozen -80","SLC4426","BLC2",10,"BLC2-10",NA,"collected","Y","duplicate sample vial location",NA,"UBC EOAS",NA,2017-06-29,"CU",NA,"116",121,"DE194",2015-06-17,"D08","DI","W","Calm Channel","DN294",11:02:00,50.32119,-125.03856,2,0,0,0,1,0,0,0,0,1,0,0
"56","U4394","sealice_cal","frozen -80","SLC4794","BLC2",12,"BLC2-12",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-25,"SO",10.2,"93",97,"DE320",2016-06-14,"D22","DI","E","McMullen Point","DN420",08:47:00,50.235322,-125.39888,1,1,0,0,0,0,0,0,0,0,0,0
"57","U3897","sealice_cal","frozen -80","SLC4297","BLC2",13,"BLC2-13",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-02,"PI",8.7,"101",NA,"JE261",2016-06-04,"J03","JS","N","Cracroft Point","JN361",13:44:00,50.543029,-126.632233,3,0,0,0,3,0,0,0,0,0,0,0
"58","U4424","sealice_cal","frozen -80","SLC4824","BLC2",14,"BLC2-14",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",8.8,"94",99,"DE308",2016-06-09,"D07","DI","C","Hoskyn Channel","DN408",10:30:00,50.190683,-125.143138,1,0,0,1,0,0,0,0,0,0,0,0
"59","U3898","sealice_cal","frozen -80","SLC4298","BLC2",15,"BLC2-15",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-02,"PI",3.9,"75",79,"JE261",2016-06-04,"J03","JS","N","Cracroft Point","JN361",13:44:00,50.543029,-126.632233,1,0,1,0,0,0,0,0,0,0,0,0
"60","U4396","sealice_cal","frozen -80","SLC4796","BLC2",16,"BLC2-16",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",11.4,"107",112,"JE250",2016-05-28,"J02","JS","N","Swanson Island","JN350",05:15:00,50.60125,-126.704457,1,0,0,0,1,0,0,0,0,0,0,0
"61","U4909","sealice_cal","frozen -80","SLC5409","BLC2",17,"BLC2-17",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-06,"PI",11.9,"98",NA,"JE276",2016-06-18,"J03","JS","N","Cracroft Point","JN376",13:42:00,50.546326,-126.669166,1,0,0,0,1,0,0,0,0,0,0,0
"62","U4398","sealice_cal","frozen -80","SLC4798","BLC2",18,"BLC2-18",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",7.3,"93",NA,"JE250",2016-05-28,"J02","JS","N","Swanson Island","JN350",05:15:00,50.60125,-126.704457,1,0,1,0,0,0,0,0,0,0,0,0
"63","U4913","sealice_cal","frozen -80","SLC5413","BLC2",19,"BLC2-19",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-06,"PI",11.4,"99",104,"JE276",2016-06-18,"J03","JS","N","Cracroft Point","JN376",13:42:00,50.546326,-126.669166,2,1,0,0,1,0,0,0,0,0,0,0
"64","U4399","sealice_cal","frozen -80","SLC4799","BLC2",20,"BLC2-20",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",9.7,"99",105,"JE250",2016-05-28,"J02","JS","N","Swanson Island","JN350",05:15:00,50.60125,-126.704457,1,0,0,1,0,0,0,0,0,0,0,0
"65","U4443","sealice_cal","frozen -80","SLC4843","BLC2",21,"BLC2-21",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",8.6,"91",96,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,1,0,0,0,0,0,0,0,0,0,1,0
"66","U4916","sealice_cal","frozen -80","SLC5416","BLC2",22,"BLC2-22",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-07,"PI",9.4,"98",NA,"JE276",2016-06-18,"J03","JS","N","Cracroft Point","JN376",13:42:00,50.546326,-126.669166,1,0,1,0,0,0,0,0,0,0,0,0
"67","U4430","sealice_cal","frozen -80","SLC4830","BLC2",23,"BLC2-23",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",7.5,"87",91,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,2,1,1,0,0,0,0,0,0,0,0,0
"68","U4431","sealice_cal","frozen -80","SLC4831","BLC2",25,"BLC2-25",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",9.8,"99",104,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,2,0,0,0,1,0,0,0,0,0,1,0
"69","U4444","sealice_cal","frozen -80","SLC4844","BLC2",27,"BLC2-27",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",10.9,"100",106,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,1,0,0,0,0,0,0,0,0,0,1,0
"70","U4039","sealice_cal","frozen -80","SLC4439","BLC2",28,"BLC2-28",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-07,"CU",17.3,"114",119,"JE286",2016-06-23,"J03","JS","N","Cracroft Point","JN386",16:17:00,50.55803,-126.73463,1,0,0,1,0,0,0,0,0,0,0,0
"71","U4402","sealice_cal","frozen -80","SLC4802","BLC2",29,"BLC2-29",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",11.1,"106",111,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,1,0,1,0,0,0,0,0,0,0,0,0
"72","U3967","sealice_cal","frozen -80","SLC4367","BLC2",30,"BLC2-30",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-09,"HE",24.5,"135",NA,"JE286",2016-06-23,"J03","JS","N","Cracroft Point","JN386",16:17:00,50.55803,-126.73463,1,0,0,0,1,0,0,0,0,0,0,0
"73","U4432","sealice_cal","frozen -80","SLC4832","BLC2",32,"BLC2-32",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-26,"SO",7.1,"84",88,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,3,1,1,0,0,0,0,0,0,0,1,0
"74","U4446","sealice_cal","frozen -80","SLC4846","BLC2",34,"BLC2-34",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-27,"SO",8.3,"87",93,"JE262",2016-06-09,"J09","JS","S","Blinkhorn Peninsula","JN362",07:22:00,50.544941,-126.816489,2,2,0,0,0,0,0,0,0,0,0,0
"75","U4433","sealice_cal","frozen -80","SLC4833","BLC2",36,"BLC2-36",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-29,"SO",8.1,"89",95,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,1,0,1,0,0,0,0,0,0,0,0,0
"76","U4459","sealice_cal","frozen -80","SLC4859","BLC2",38,"BLC2-38",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-29,"SO",7.1,"82",87,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,1,1,0,0,0,0,0,0,0,0,0,0
"77","U4434","sealice_cal","frozen -80","SLC4834","BLC2",40,"BLC2-40",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-29,"SO",6.8,"84",88,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,1,1,0,0,0,0,0,0,0,0,0,0
"78","U4406","sealice_cal","frozen -80","SLC4806","BLC2",41,"BLC2-41",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-29,"SO",7.6,"87",92,"DE300",2016-06-03,"D07","DI","C","Hoskyn Channel","DN400",12:45:00,50.190887,-125.143416,2,0,0,0,1,0,0,0,0,0,1,0
"79","U3900","sealice_cal","frozen -80","SLC4300","BLC2",44,"BLC2-44",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-03,"PI",8.8,"100",104,"JE261",2016-06-04,"J03","JS","N","Cracroft Point","JN361",13:44:00,50.543029,-126.632233,3,0,0,0,2,1,0,0,0,0,0,0
"80","U4415","sealice_cal","frozen -80","SLC4815","BLC2",45,"BLC2-45",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-29,"SO",7.2,"84",NA,"DE301",2016-06-07,"D09","DI","C","Okisollo Channel","DN401",08:25:00,50.30436,-125.332956,3,2,0,1,0,0,0,0,0,0,0,0
"81","U4040","sealice_cal","frozen -80","SLC4440","BLC2",46,"BLC2-46",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-11-07,"CU",10.6,"97",102,"JE276",2016-06-18,"J03","JS","N","Cracroft Point","JN376",13:42:00,50.546326,-126.669166,1,0,0,0,1,0,0,0,0,0,0,0
"82","U4409","sealice_cal","frozen -80","SLC4809","BLC2",47,"BLC2-47",NA,"collected","N",NA,NA,"UBC EOAS",NA,2017-09-29,"SO",10.8,"102",108,"JE286",2016-06-23,"J03","JS","N","Cracroft Point","JN386",16:17:00,50.55803,-126.73463,1,1,0,0,0,0,0,0,0,0,0,0
