"","ufn","survey_date","site_id","cal_cope_field","lep_cope_field","chal_a_field","chal_b_field","cal_mot_field","cm_field","cpaf_field","caf_field","cgf_field","lpam_field","lpaf_field","lam_field","laf_field","lgf_field","unid_cope_field","unid_chal_field","chal_scar","mot_scar","pred_scar","hemorrhaging","eroded_gill_plate","grazed_gill_plate","mate_guarding","pinched_belly","comments_fish_health_field","licing_protocol_field","motile_count"
"90","U16701",2018-06-14,"J09",2,0,4,1,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"PVF","salmoncoast_allstages",1
"91","U16704",2018-06-14,"J09",4,0,10,5,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,2,0,0,0,0,"Lesion FL","salmoncoast_allstages",2
"92","U16705",2018-06-14,"J09",0,0,3,3,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"PVF","salmoncoast_allstages",1
"93","U16706",2018-06-14,"J09",2,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"94","U16707",2018-06-14,"J09",0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"PVF","salmoncoast_allstages",1
"95","U16573",2018-06-14,"J09",NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"96","U16574",2018-06-14,"J09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"97","U16577",2018-06-14,"J09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"98","U16641",2018-06-14,"J09",NA,NA,NA,NA,2,0,0,2,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"99","U16643",2018-06-14,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"100","U17151",2018-06-18,"D09",NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"101","U17153",2018-06-18,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"Fish hit the deck","salmoncoast_motiles",1
"102","U17155",2018-06-18,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"103","U17158",2018-06-18,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"104","U17160",2018-06-18,"D09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"105","U17144",2018-06-18,"D09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"In dewar 10:24","salmoncoast_motiles",1
"106","U17148",2018-06-18,"D09",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"107","U16417",2018-06-19,"D22",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"108","U17058",2018-06-19,"D22",NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"109","U16751",2018-06-20,"J02",2,0,5,0,2,0,0,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",2
"110","U16753",2018-06-20,"J02",0,0,6,6,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"111","U16875",2018-06-20,"J02",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"112","U16878",2018-06-20,"J02",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"113","U16879",2018-06-20,"J02",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"114","U16821",2018-06-20,"J02",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"115","U16824",2018-06-20,"J02",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"116","U16826",2018-06-20,"J02",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"117","U17351",2018-06-20,"D10",0,0,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lesions both sides","salmoncoast_allstages",2
"118","U17453",2018-06-20,"D10",NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"119","U17025",2018-06-20,"D10",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"120","U17028",2018-06-20,"D10",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"121","U16897",2018-06-21,"J09",0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"122","U16899",2018-06-21,"J09",0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"123","U16741",2018-06-21,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"124","U16742",2018-06-21,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"125","U16745",2018-06-21,"J09",NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"split CDF","salmoncoast_motiles",2
"126","U16746",2018-06-21,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"127","U16747",2018-06-21,"J09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"lesion above vent","salmoncoast_motiles",1
"128","U16748",2018-06-21,"J09",NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"129","U16749",2018-06-21,"J09",NA,NA,NA,NA,2,1,0,1,1,0,0,1,1,0,NA,NA,1,1,0,0,0,0,1,0,NA,"salmoncoast_motiles",5
"130","U16941",2018-06-21,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"131","U16942",2018-06-21,"J09",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
