survey_date,site_id,species,n_taken,n_dissected,n_remaining
2015-06-01,D09,CU,10,5,5
2015-06-03,D10,CU,10,0,10
2015-06-03,D11,CU,10,0,10
2015-06-03,D09,CU,10,0,10
2015-06-04,D08,CU,2,0,2
2015-06-04,D06,CU,3,0,3
2015-06-05,D10,CU,10,0,10
2015-06-05,D09,CU,10,5,5
2015-06-07,D09,CU,10,5,5
2015-06-09,D09,CU,10,5,5
2015-06-09,D07,CU,10,5,5
2015-06-11,D09,CU,10,5,5
2015-06-11,D07,CU,10,0,10
2015-06-14,D09,CU,10,6,4
2015-06-14,D11,CU,10,0,10
2015-06-16,D11,CU,10,0,10
2015-06-18,D11,CU,10,0,10
2015-06-18,D09,CU,10,5,5
2015-06-20,D11,CU,10,0,10
2015-06-20,D09,CU,10,5,5
2015-06-22,D10,CU,10,0,10
2015-06-22,D09,CU,10,5,5
2015-06-24,D10,CU,10,0,10
2015-06-24,D11,CU,10,0,10
2015-06-27,D09,CU,10,5,5
2015-06-29,D11,CU,10,0,10
2015-06-29,D09,CU,10,7,3
2015-07-02,D09,CU,10,5,5
2015-07-05,D11,CU,10,0,10
2015-07-06,D09,CU,10,5,5
2015-07-06,D11,CU,10,0,10
2015-07-07,D11,CU,10,0,10
2015-07-07,D09,CU,10,5,5
2015-07-14,D11,CU,10,0,10
2015-05-21,J06,CU,10,8,2
2015-05-22,J07,CU,1,0,1
2015-05-22,J08,CU,3,2,1
2015-05-23,J09,CU,10,0,10
2015-05-23,J10,CU,10,0,10
2015-05-24,J02,CU,7,5,2
2015-05-24,J06,CU,2,0,2
2015-05-25,J05,CU,10,0,10
2015-05-25,J04,CU,10,0,10
2015-05-25,J08,CU,10,0,10
2015-05-26,J07,CU,10,0,10
2015-05-26,J09,CU,10,5,5
2015-05-27,J10,CU,10,0,10
2015-05-27,J09,CU,10,0,10
2015-05-28,J01,CU,10,0,10
2015-05-29,J06,CU,10,0,10
2015-05-30,J05,CU,10,0,10
2015-05-30,J07,CU,10,0,10
2015-05-30,J08,CU,10,0,10
2015-05-31,J04,CU,10,0,10
2015-05-31,J09,CU,10,5,5
2015-06-01,J02,CU,5,2,3
2015-06-01,J01,CU,10,0,10
2015-06-01,J10,CU,10,0,10
2015-06-02,J05,CU,10,0,10
2015-06-02,J07,CU,10,0,10
2015-06-03,J06,CU,10,0,10
2015-06-03,J08,CU,10,0,10
2015-06-03,J09,CU,10,0,10
2015-06-04,J04,CU,10,0,10
2015-06-04,J03,CU,10,0,10
2015-06-04,J02,CU,10,0,10
2015-06-05,J10,CU,10,0,10
2015-06-05,J01,CU,10,0,10
2015-06-06,J07,CU,10,0,10
2015-06-07,J06,CU,10,0,10
2015-06-07,J05,CU,10,0,10
2015-06-07,J08,CU,10,0,10
2015-06-07,J09,CU,10,5,5
2015-06-08,J04,CU,10,0,10
2015-06-08,J01,CU,10,0,10
2015-06-09,J02,CU,10,0,10
2015-06-11,J05,CU,10,0,10
2015-06-11,J07,CU,10,0,10
2015-06-12,J06,CU,10,0,10
2015-06-13,J09,CU,10,0,10
2015-06-14,J06,CU,10,0,10
2015-06-14,J07,CU,10,0,10
2015-06-14,J05,CU,10,0,10
2015-06-15,J04,CU,10,0,10
2015-06-15,J08,CU,10,0,10
2015-06-15,J10,CU,10,1,9
2015-06-16,J01,CU,10,0,10
2015-06-16,J02,CU,10,5,5
2015-06-16,J09,CU,10,5,5
2015-06-17,J04,CU,10,0,10
2015-06-17,J08,CU,10,0,10
2015-06-17,J03,CU,10,0,10
2015-06-18,J06,CU,10,0,10
2015-06-18,J07,CU,10,0,10
2015-06-18,J05,CU,10,0,10
2015-06-18,J01,CU,10,0,10
2015-06-19,J09,CU,10,6,4
2015-06-19,J10,CU,10,0,10
2015-06-19,J02,CU,10,5,5
2015-06-20,J04,CU,10,0,10
2015-06-20,J08,CU,10,0,10
2015-06-20,J07,CU,10,0,10
2015-06-21,J06,CU,10,0,10
2015-06-21,J05,CU,10,0,10
2015-06-21,J10,CU,10,0,10
2015-06-23,J01,CU,10,0,10
2015-06-23,J02,CU,10,5,5
2015-06-23,J09,CU,10,0,10
2015-06-24,J06,CU,10,0,10
2015-06-24,J07,CU,10,0,10
2015-06-24,J05,CU,10,0,10
2015-06-24,J08,CU,10,0,10
2015-06-27,J10,CU,10,0,10
2015-06-27,J01,CU,10,0,10
2015-06-27,J09,CU,10,5,5
2015-06-28,J02,CU,10,0,10
2015-06-29,J08,CU,10,0,10
2015-06-29,J07,CU,10,0,10
2015-07-01,J10,CU,10,0,10
2015-07-01,J03,CU,8,0,8
2015-07-01,J09,CU,10,5,5
2015-07-07,J09,CU,10,5,5
