seine_id,survey_date,site_id,SO_retained,SO_dissected,PI_retained,PI_dissected,CU_retained,CU_dissected,SO_sealice_collected,SO_sealice_results,PI_sealice_collected,PI_sealice_results,CU_sealice_collected,CU_sealice_results,n_sockeye_stock_id
JN284,2015-06-17,J03,3,0,10,10,10,0,0,0,0,0,0,0,0
JN285,2015-06-18,J06,20,0,2,0,10,0,0,0,0,0,0,0,0
JN286,2015-06-18,J07,30,0,1,0,10,0,0,0,0,0,0,0,0
JN287,2015-06-18,J05,17,0,10,0,10,0,0,0,0,0,0,0,0
JN288,2015-06-18,J01,4,0,10,0,10,0,0,0,0,0,0,0,0
JN289,2015-06-19,J09,30,12,10,10,10,6,12,11,0,0,0,0,12
JN290,2015-06-19,J10,30,11,10,0,10,0,11,10,0,0,0,0,11
JN291,2015-06-19,J02,30,10,10,10,10,5,9,8,0,0,0,0,9
JN292,2015-06-20,J04,30,13,10,0,10,0,13,0,0,0,0,0,13
JN293,2015-06-20,J08,5,5,10,0,10,0,5,0,0,0,0,0,5
JN295,2015-06-20,J07,24,10,10,0,10,0,10,0,0,0,0,0,10
JN296,2015-06-21,J06,30,10,9,0,10,0,10,0,0,0,0,0,9
JN297,2015-06-21,J05,30,10,1,0,10,0,10,0,0,0,0,0,10
JN298,2015-06-21,J10,30,0,8,0,10,0,0,0,0,0,0,0,0
JN299,2015-06-23,J03,30,10,10,10,10,10,10,0,0,0,1,0,9
JN300,2015-06-23,J01,18,10,2,0,10,0,10,9,0,0,0,0,10
JN301,2015-06-23,J02,18,10,10,10,10,5,10,9,0,0,0,0,10
JN302,2015-06-23,J09,30,11,10,10,10,0,11,10,5,0,0,0,11
JN303,2015-06-24,J06,8,8,10,0,10,0,8,0,0,0,0,0,8
JN304,2015-06-24,J07,29,10,4,4,10,0,10,0,3,0,0,0,10
JN305,2015-06-24,J05,30,10,10,0,10,0,10,0,0,0,0,0,9
JN306,2015-06-24,J08,19,10,10,0,10,0,10,0,0,0,0,0,10
JN307,2015-06-27,J10,10,8,10,0,10,0,8,7,0,0,0,0,8
JN308,2015-06-27,J01,10,0,10,0,10,0,0,0,0,0,0,0,0
JN309,2015-06-27,J09,30,0,10,9,10,5,0,0,0,0,0,0,0
JN310,2015-06-28,J02,0,0,10,0,10,0,0,0,0,0,0,0,"NA"
JN311,2015-06-28,J03,0,0,10,0,10,10,0,0,0,0,0,0,"NA"
JN312,2015-06-29,J08,0,0,10,0,10,0,0,0,0,0,0,0,"NA"
JN313,2015-06-29,J07,30,11,10,0,10,0,11,0,0,0,0,0,11
JN316,2015-07-01,J10,4,4,10,2,10,0,4,4,1,0,0,0,4
JN317,2015-07-01,J03,3,2,10,10,8,0,2,0,0,0,0,0,2
JN318,2015-07-01,J09,30,12,10,0,10,5,12,9,0,0,0,0,13
JN325,2015-07-07,J09,30,10,10,10,10,5,10,3,0,0,0,0,10
JN331,2016-05-20,J05,30,10,1,0,2,0,0,0,0,0,0,0,10
JN333,2016-05-21,J06,30,10,0,0,0,0,0,0,0,0,0,0,8
JN334,2016-05-21,J07,30,14,10,0,0,0,0,0,0,0,0,0,9
JN336,2016-05-21,J08,25,10,2,0,0,0,0,0,0,0,0,0,8
JN337,2016-05-22,J09,30,30,10,10,9,9,0,0,0,0,0,0,22
JN338,2016-05-22,J10,30,10,6,0,7,0,0,0,0,0,0,0,9
JN340,2016-05-22,J02,30,10,10,10,8,8,0,0,0,0,0,0,8
JN343,2016-05-26,J04,30,10,5,0,7,0,0,0,0,0,0,0,8
JN344,2016-05-26,J05,30,10,10,0,10,0,0,0,0,0,0,0,10
JN345,2016-05-27,J06,30,10,9,0,10,0,0,0,0,0,0,0,8
JN346,2016-05-27,J07,30,20,0,0,0,0,0,0,0,0,0,0,9
JN348,2016-05-27,J09,30,30,2,2,1,1,0,0,0,0,0,0,27
JN349,2016-05-27,J01,30,10,10,0,10,0,0,0,0,0,0,0,10
JN350,2016-05-28,J02,30,29,6,6,10,10,0,0,0,0,0,0,10
JN351,2016-05-28,J03,30,30,0,0,1,0,0,0,0,0,0,0,29
JN352,2016-06-01,J02,30,22,10,10,10,10,0,0,0,0,0,0,9
JN353,2016-06-01,J01,18,10,10,0,10,0,0,0,0,0,0,0,10
JN354,2016-06-02,J10,30,20,1,0,5,0,0,0,0,0,0,0,10
JN355,2016-06-02,J09,30,30,5,5,10,10,0,0,0,0,0,0,30
JN356,2016-06-02,J08,30,10,10,0,10,0,0,0,0,0,0,0,10
JN357,2016-06-03,J05,30,20,1,0,10,0,0,0,0,0,0,0,10
JN358,2016-06-03,J07,30,20,10,0,10,0,0,0,0,0,0,0,10
JN359,2016-06-04,J06,30,18,0,0,10,0,0,0,0,0,0,0,10
JN361,2016-06-04,J03,30,30,10,0,6,0,0,0,0,0,0,0,30
JN362,2016-06-09,J09,29,29,10,0,10,10,0,0,0,0,0,0,29
JN363,2016-06-09,J10,30,20,10,0,10,0,0,0,0,0,0,0,10
JN364,2016-06-09,J02,30,10,10,10,10,10,0,0,0,0,0,0,9
JN365,2016-06-10,J01,22,11,10,0,10,0,0,0,0,0,0,0,10
JN366,2016-06-10,J03,30,30,10,0,2,0,0,0,0,0,0,0,30
JN367,2016-06-10,J04,30,20,9,0,10,0,0,0,0,0,0,0,10
JN368,2016-06-10,J08,30,20,10,0,10,0,0,0,0,0,0,0,10
JN369,2016-06-11,J06,29,9,10,0,10,0,0,0,0,0,0,0,9
JN370,2016-06-11,J07,30,20,10,0,10,0,0,0,0,0,0,0,10
JN371,2016-06-11,J05,30,10,10,0,10,0,0,0,0,0,0,0,10
JN372,2016-06-17,J02,30,0,10,0,7,0,0,0,0,0,0,0,0
JN373,2016-06-17,J01,30,9,10,0,10,0,0,0,0,0,0,0,9
JN374,2016-06-18,J09,30,30,10,10,10,10,0,0,0,0,0,0,30
JN376,2016-06-18,J03,6,6,10,0,10,0,0,0,0,0,0,0,6
JN382,2016-06-19,J06,30,20,10,0,10,0,0,0,0,0,0,0,10
JN383,2016-06-20,J07,30,20,10,0,10,0,0,0,0,0,0,0,10
JN385,2016-06-23,J10,30,20,10,0,10,0,0,0,0,0,0,0,7
JN386,2016-06-23,J03,26,26,10,0,10,0,0,0,0,0,0,0,31
JN388,2016-06-24,J02,4,4,10,10,10,10,0,0,0,0,0,0,4
JN390,2016-06-24,J08,10,10,10,0,10,0,0,0,0,0,0,0,10
JN391,2016-06-25,J06,30,20,10,0,10,0,0,0,0,0,0,0,10
JN392,2016-06-25,J07,30,10,10,0,10,0,0,0,0,0,0,0,10
JN393,2016-06-25,J05,28,10,10,0,10,0,0,0,0,0,0,0,10
JN398,2016-07-04,J09,15,15,10,10,10,10,0,0,0,0,0,0,15
JN402,2016-07-05,J07,30,10,10,0,10,0,0,0,0,0,0,0,10
JN403,2016-07-06,J06,22,10,10,0,10,0,0,0,0,0,0,0,9
