ufn,Comment,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
286,,Chilko,3,0.88,Thompson_N,2,0.06,Raft,2,0.03,Eagle_L,4,0.01,Little,4,0.01
287,,Chilko,3,0.88,Thompson_N,2,0.05,Raft,2,0.03,Fennell,2,0.02,Chilko-North,3,0.01
288,,Scotch,2,1,L_Adams,4,0,Sandpoint,1,0,,,,,,
289,,Scotch,2,1,Seymour,2,0,L_Adams,4,0,Pitt,2,0,,,
290,,Chilko,3,0.93,Pinchi_Cr,3,0.05,Chilko_south,2,0.02,Chilko-North,3,0.01,Portage_Cr,4,0
291,,Chilko,3,0.87,Quesnel_Decept,3,0.09,Pinchi_Cr,3,0.02,Eagle_L,4,0.01,Thompson_N,2,0.01
292,,Pinchi_Cr,3,0.88,Tachie,3,0.11,L_Shuswap,4,0.01,Middle,3,0.01,MiddleShuswap,4,0
293,,Chilko,3,1,Chilko_south,2,0,,,,,,,,,
294,,Birkenhead,3,1,,,,,,,,,,,,
295,,Quesnel_Decept,3,0.8,Pinchi_Cr,3,0.09,Chilko,3,0.04,Mitchell,3,0.03,Pitt,2,0.03
296,,Gates_Cr,2,1,,,,,,,,,,,,
297,,Chilko,3,0.99,Chilko_south,2,0.01,Chilko-North,3,0,,,,,,
298,,Chilko,3,0.91,Thompson_N,2,0.07,Chilko_south,2,0.01,Tachie,3,0,Pinchi_Cr,3,0
299,,Chilko,3,0.98,Quesnel_Horsef,3,0.02,Little,4,0,Roaring,3,0,Horsefly,3,0
300,,Weaver,4,0.89,Chilko,3,0.07,Wannock,18,0.01,Marble_Cr,18,0.01,Pitt,2,0.01
301,,Pinchi_Cr,3,0.88,Tachie,3,0.09,Chilko,3,0.01,Narrows,1,0.01,Hudson_Bay,1,0
302,,Weaver,4,1,Tachie,3,0,,,,,,,,,
303,,Chilko,3,0.99,Thompson_N,2,0.01,Chilko_south,2,0.01,Pinchi_Cr,3,0,,,
304,,Quesnel_Decept,3,0.84,Weaver,4,0.06,Pinchi_Cr,3,0.05,Mitchell,3,0.02,Thompson_N,2,0.02
305,,Weaver,4,1,,,,,,,,,,,,
306,,Pinchi_Cr,3,0.91,Tachie,3,0.08,Middle,3,0,,,,,,
307,,Chilko,3,1,Stellako,3,0,Chilko_south,2,0,,,,,,
308,,Quesnel_Horsef,3,0.98,U_Horsefly,3,0.01,L_Horsefly,3,0,Horsefly,3,0,Little,4,0
309,,Gluskie,1,0.97,Middle,3,0.02,Blackwater,1,0.01,FiveMile,1,0,Stellako,3,0
310,,Chilko,3,1,Quesnel_Mitche,3,0,Stellako,3,0,,,,,,
311,,Chilko,3,0.65,Thompson_N,2,0.28,Raft,2,0.03,L_Shuswap,4,0.01,L_Adams,4,0.01
312,,Weaver,4,1,,,,,,,,,,,,
313,,Pinchi_Cr,3,0.54,Thompson_N,2,0.31,Quesnel_Decept,3,0.08,Chilko,3,0.05,L_Adams,4,0.01
314,,Chilko,3,0.98,Pinchi_Cr,3,0.01,Quesnel_Decept,3,0,Chilko_south,2,0,Chilko-North,3,0
315,,Pinchi_Cr,3,0.87,Quesnel_Decept,3,0.05,Chilko,3,0.04,Tachie,3,0.01,Hudson_Bay,1,0.01
316,,Chilko,3,0.68,Thompson_N,2,0.13,Pinchi_Cr,3,0.12,Raft,2,0.03,Quesnel_Decept,3,0.02
317,,Thompson_N,2,0.9,Chilko,3,0.05,Raft,2,0.04,Quesnel_Horsef,3,0.01,Stellako,3,0
318,,Mitchell,3,0.93,Quesnel_Mitche,3,0.07,Blue_Lead_Ck,3,0,Quesnel_Decept,3,0,Roaring,3,0
319,,Chilko,3,1,Chilko_south,2,0,,,,,,,,,
320,,Stellako,3,0.43,L_Adams,4,0.34,Middle,3,0.12,Seymour,2,0.06,Chilko,3,0.04
321,,Pinchi_Cr,3,0.94,Tachie,3,0.06,,,,,,,,,
322,,Chilko,3,0.96,Thompson_N,2,0.02,Middle,3,0.01,Stellako,3,0,Eagle_L,4,0
323,,Middle,3,0.95,Stellako,3,0.03,Chilko,3,0.01,Tachie,3,0,Forfar,1,0
324,,Blue_Lead_Ck,3,0.79,Quesnel_Mitche,3,0.11,Mitchell,3,0.1,Quesnel_Decept,3,0,Wasko_Cr,3,0
325,,Horsefly,3,0.44,L_Adams,4,0.39,Chilko,3,0.1,Stellako,3,0.02,Kalum_lake,10,0.02
326,,Middle,3,0.42,Gluskie,1,0.26,Porter_Cr,1,0.14,Blackwater,1,0.09,Stellako,3,0.03
327,,Quesnel_Mitche,3,0.99,Mitchell,3,0.01,Blue_Lead_Ck,3,0,Chilko,3,0,Horsefly,3,0
328,,Chilko,3,0.88,Thompson_N,2,0.11,Raft,2,0,Little,4,0,Quesnel_Horsef,3,0
329,,Pinchi_Cr,3,0.94,Middle,3,0.06,Paula,1,0,Chilko,3,0,Stellako,3,0
330,,L_Adams,4,0.33,Seymour,2,0.25,Pinchi_Cr,3,0.23,Chilko_south,2,0.09,Little,4,0.04
331,,Quesnel_Horsef,3,0.95,Little,4,0.01,Chilko,3,0.01,U_Horsefly,3,0.01,Quesnel_Decept,3,0.01
332,,Blackwater,1,0.36,Hudson_Bay,1,0.2,Kynock,1,0.16,Sandpoint,1,0.12,Felix,1,0.05
333,,Chilko,3,0.29,Thompson_N,2,0.21,Little,4,0.18,Quesnel_Horsef,3,0.14,Eagle_L,4,0.04
334,,Chilko,3,1,Middle,3,0,,,,,,,,,
335,,L_Adams,4,0.37,Gluskie,1,0.2,Kynock,1,0.19,Dust,1,0.08,Porter_Cr,1,0.06
336,,Stellako,3,0.99,L_Adams,4,0,Middle,3,0,Felix,1,0,Dust,1,0
337,,Quesnel_Horsef,3,0.67,U_Horsefly,3,0.2,McKinley,3,0.11,Horsefly,3,0.01,M_Horsefly,3,0.01
339,,Chilko,3,1,Quesnel_Horsef,3,0,Thompson_N,2,0,,,,,,
340,,Chilko,3,0.98,Quesnel_Horsef,3,0.01,U_Horsefly,3,0.01,Middle,3,0,Blue_Lead_Ck,3,0
341,,Gates_Cr,2,1,,,,,,,,,,,,
342,,Gates_Cr,2,1,,,,,,,,,,,,
343,,Chilko,3,0.5,L_Adams,4,0.44,Middle,3,0.03,Portage_Cr,4,0.01,Dust,1,0
344,,Weaver,4,0.96,Pitt,2,0.04,,,,,,,,,
345,,Chilko,3,0.99,Thompson_N,2,0.01,Chilko-North,3,0,Chilko_south,2,0,,,
346,,Chilko,3,1,Chilko_south,2,0,,,,,,,,,
347,,Birkenhead,3,1,Weaver,4,0,Chilko,3,0,,,,,,
349,,Chilko,3,0.46,Raft,2,0.24,Little,4,0.15,Thompson_N,2,0.09,Chilko_south,2,0.03
350,,Chilko,3,0.6,Stellako,3,0.16,Sandpoint,1,0.08,Blackwater,1,0.04,Eagle_L,4,0.03
351,,Horsefly,3,0.32,Chilko,3,0.3,L_Adams,4,0.29,Porter_Cr,1,0.04,Gluskie,1,0.03
352,,Blue_Lead_Ck,3,0.8,Quesnel_Decept,3,0.07,U_Horsefly,3,0.05,Quesnel_Mitche,3,0.03,Quesnel_Horsef,3,0.03
353,,Quesnel_Horsef,3,0.68,U_Horsefly,3,0.2,McKinley,3,0.11,Quesnel_Decept,3,0,Horsefly,3,0
354,,Thompson_N,2,0.72,Quesnel_Horsef,3,0.15,U_Horsefly,3,0.04,Eagle_L,4,0.02,Little,4,0.02
355,,Quesnel_Horsef,3,0.78,Chilko,3,0.06,Mitchell,3,0.04,Blackwater,1,0.03,Quesnel_Mitche,3,0.02
356,,Stellako,3,0.82,Blackwater,1,0.12,Hudson_Bay,1,0.03,Porter_Cr,1,0.01,Sandpoint,1,0
357,,Chilko,3,0.99,Raft,2,0.01,Quesnel_Horsef,3,0,Thompson_N,2,0,Quesnel_Decept,3,0
358,,Chilko,3,1,Chilko_south,2,0,,,,,,,,,
359,,Chilko,3,1,Raft,2,0,,,,,,,,,
360,,Blue_Lead_Ck,3,0.81,Quesnel_Mitche,3,0.11,Mitchell,3,0.05,Quesnel_Decept,3,0.03,Quesnel_Horsef,3,0
361,,Pitt,2,1,,,,,,,,,,,,
362,,Chilko,3,1,Chilko_south,2,0,,,,,,,,,
363,,Stellako,3,0.65,Thompson_N,2,0.24,Chilko,3,0.1,Kuzkwa_Cr,3,0,Tachie,3,0
364,,Chilko,3,1,Chilko-North,3,0,Chilko_south,2,0,Thompson_N,2,0,,,
365,,Quesnel_Horsef,3,0.68,U_Horsefly,3,0.2,McKinley,3,0.11,Quesnel_Decept,3,0,Horsefly,3,0
366,,Chilko,3,0.97,Middle,3,0.03,Chilko_south,2,0,Sinta,1,0,U_Horsefly,3,0
367,,Thompson_N,2,0.89,Raft,2,0.07,Chilko,3,0.04,Blue_Lead_Ck,3,0,Quesnel_Horsef,3,0
368,,Thompson_N,2,0.71,Chilko,3,0.1,Raft,2,0.06,Little,4,0.06,MiddleShuswap,4,0.04
369,,Forfar,1,0.24,Hudson_Bay,1,0.18,Sandpoint,1,0.16,Bivouac,1,0.12,Porter_Cr,1,0.06
370,,Chilko,3,0.21,Thompson_N,2,0.14,Forfar,1,0.12,Bivouac,1,0.11,Sandpoint,1,0.07
371,,Chilko,3,1,Blue_Lead_Ck,3,0,Horsefly,3,0,,,,,,
372,,Chilko,3,0.96,Eagle_L,4,0.04,Thompson_N,2,0,L_Adams,4,0,,,
373,,Chilko,3,0.96,Raft,2,0.02,Thompson_N,2,0.02,Fennell,2,0,Little,4,0
374,,Chilko,3,1,Chilko-North,3,0,,,,,,,,,
375,,Mitchell,3,0.85,Chilko,3,0.08,Quesnel_Mitche,3,0.03,Quesnel_Decept,3,0.01,Quesnel_Horsef,3,0.01
376,,Chilko,3,0.91,Thompson_N,2,0.03,Birkenhead,3,0.03,Stellako,3,0.01,Little,4,0.01
377,,Mitchell,3,0.93,Quesnel_Mitche,3,0.07,,,,,,,,,
378,,Chilko,3,1,Quesnel_Horsef,3,0,,,,,,,,,
379,,Thompson_N,2,0.66,Raft,2,0.33,Weaver,4,0,Fennell,2,0,Pitt,2,0
380,,Chilko,3,0.96,Stellako,3,0.03,Thompson_N,2,0.01,Chilko_south,2,0,Birkenhead,3,0
381,,Chilko,3,0.75,Chilko-North,3,0.2,Chilko_south,2,0.05,,,,,,
382,,Birkenhead,3,1,,,,,,,,,,,,
383,,Chilko,3,0.3,Thompson_N,2,0.19,Little,4,0.08,Portage_Cr,4,0.08,Chilko-North,3,0.06
384,,Pinchi_Cr,3,0.92,Tachie,3,0.07,Quesnel_Decept,3,0,Middle,3,0,Chilko,3,0
385,,Weaver,4,1,,,,,,,,,,,,
386,,Quesnel_Decept,3,0.81,Mitchell,3,0.17,Quesnel_Mitche,3,0.02,Roaring,3,0,Blue_Lead_Ck,3,0
387,,Weaver,4,1,,,,,,,,,,,,
388,,Pinchi_Cr,3,0.85,Hudson_Bay,1,0.1,Tachie,3,0.05,Kuzkwa_Cr,3,0,Chilko,3,0
389,,Thompson_N,2,0.83,Chilko,3,0.08,Eagle_L,4,0.03,L_Shuswap,4,0.02,Raft,2,0.01
390,,Chilko,3,0.97,Thompson_N,2,0.01,Nadina,2,0.01,Chilko_south,2,0.01,Raft,2,0
391,,Thompson_N,2,0.74,Pinchi_Cr,3,0.19,Quesnel_Decept,3,0.03,L_Shuswap,4,0.02,Tachie,3,0.01
392,,Pinchi_Cr,3,1,Tachie,3,0,,,,,,,,,
393,,Pinchi_Cr,3,0.76,Tachie,3,0.11,Hudson_Bay,1,0.07,Driftwood,1,0.03,Gluskie,1,0.01
394,,Chilko,3,0.85,Blackwater,1,0.05,Hudson_Bay,1,0.02,Chilko_south,2,0.02,Eagle_L,4,0.01
395,,Pinchi_Cr,3,0.99,Tachie,3,0.01,Kuzkwa_Cr,3,0,FiveMile,1,0,,,
396,,Chilko,3,0.86,Quesnel_Horsef,3,0.12,Mitchell,3,0,Thompson_N,2,0,Bowron,2,0
397,,Chilko,3,0.97,Quesnel_Horsef,3,0.02,Raft,2,0.01,Thompson_N,2,0,L_Adams,4,0
398,,Chilko,3,0.98,Thompson_N,2,0.01,Chilko_south,2,0,Quesnel_Horsef,3,0,Blackwater,1,0
399,,Chilko,3,0.99,Kynock,1,0,Stellako,3,0,Quesnel_Horsef,3,0,Dust,1,0
400,,Chilko,3,1,,,,,,,,,,,,
401,,Mitchell,3,0.92,Quesnel_Mitche,3,0.08,Roaring,3,0,Blue_Lead_Ck,3,0,,,
402,,Chilko,3,0.99,Chilko-North,3,0.01,L_Adams,4,0.01,Roaring,3,0,,,
403,,Middle,3,0.53,Kynock,1,0.17,Gluskie,1,0.1,Dust,1,0.09,Stellako,3,0.08
404,,Quesnel_Mitche,3,1,Chilko,3,0,,,,,,,,,
405,,Quesnel_Mitche,3,1,Mitchell,3,0,,,,,,,,,
406,,Stellako,3,0.96,Middle,3,0.04,Kuzkwa_Cr,3,0,Kynock,1,0,,,
407,,Chilko,3,1,,,,,,,,,,,,
408,,Birkenhead,3,0.79,Pitt,2,0.21,,,,,,,,,
409,,Stellako,3,0.32,Blackwater,1,0.2,Kynock,1,0.11,Hudson_Bay,1,0.11,Sandpoint,1,0.1
410,,Chilko,3,1,Raft,2,0,,,,,,,,,
411,,Chilko,3,0.89,Weaver,4,0.07,Little,4,0.03,Portage_Cr,4,0,Quesnel_Horsef,3,0
412,,Chilko,3,0.96,Middle,3,0.02,Horsefly,3,0.01,L_Adams,4,0.01,Kynock,1,0
413,,Gluskie,1,0.56,Porter_Cr,1,0.2,Blackwater,1,0.13,Kynock,1,0.08,FiveMile,1,0.02
414,,Chilko,3,0.93,Horsefly,3,0.07,Quesnel_Mitche,3,0,L_Adams,4,0,L_Horsefly,3,0
415,,Porter_Cr,1,0.3,Gluskie,1,0.25,Blackwater,1,0.23,Kynock,1,0.07,FiveMile,1,0.04
416,,Gluskie,1,0.44,Chilko,3,0.28,Middle,3,0.13,Kynock,1,0.05,Blackwater,1,0.03
417,,Middle,3,0.82,Weaver,4,0.14,Chilko,3,0.03,Tachie,3,0,Chilko_south,2,0
418,,Chilko,3,0.99,Middle,3,0.01,Quesnel_Decept,3,0,Blue_Lead_Ck,3,0,Quesnel_Horsef,3,0
419,,Quesnel_Horsef,3,0.58,U_Horsefly,3,0.2,McKinley,3,0.11,Quesnel_Decept,3,0.06,Blue_Lead_Ck,3,0.01
420,,Blue_Lead_Ck,3,0.81,Quesnel_Mitche,3,0.11,Quesnel_Decept,3,0.08,Roaring,3,0,Quesnel_Horsef,3,0
421,,Stellako,3,0.63,Chilko,3,0.22,Middle,3,0.11,L_Adams,4,0.04,Dust,1,0.01
422,,Stellako,3,0.81,Middle,3,0.17,Dust,1,0.01,Tachie,3,0,L_Adams,4,0
423,,Chilko,3,1,L_Adams,4,0,Portage_Cr,4,0,Middle,3,0,,,
424,,Chilko,3,1,Chilko-North,3,0,Middle,3,0,Gluskie,1,0,,,
425,,Chilko,3,0.59,Thompson_N,2,0.38,Raft,2,0.03,Quesnel_Decept,3,0,Chilko_south,2,0
426,,Chilko,3,0.98,Thompson_N,2,0.01,Quesnel_Horsef,3,0,U_Horsefly,3,0,McKinley,3,0
427,,Horsefly,3,0.6,Chilko,3,0.24,Gluskie,1,0.08,Stellako,3,0.03,Kynock,1,0.02
428,,L_Adams,4,0.95,Seymour,2,0.05,Eagle_L,4,0,Eagle,2,0,,,
429,,Chilko,3,0.95,Quesnel_Mitche,3,0.05,L_Adams,4,0.01,Chilko_south,2,0,,,
430,,Chilko,3,0.99,Horsefly,3,0.01,Pitt,2,0,,,,,,
431,,Chilko,3,0.99,Eagle_L,4,0,Chilko-North,3,0,Chilko_south,2,0,Canoe_Cr,15,0
