ufn,survey_date,site_id,stock_1,current_location,container_id,storage_shelf,storage_tray
U4564,2016-06-01,D22,L_Adams,Quadra Prep Lab,BOTSO43,5,3
U4629,2016-06-01,D22,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4660,2016-06-01,D22,L_Adams,Quadra Prep Lab,BOTSO41,5,3
U4661,2016-06-01,D22,Chilko,Quadra Prep Lab,BOTSO41,5,3
U4439,2016-06-01,D22,Chilko,Quadra Prep Lab,BOTSO40,4,1
U4463,2016-06-01,D22,L_Adams,Quadra Prep Lab,BOTSO43,5,3
U4464,2016-06-01,D22,L_Adams,Quadra Prep Lab,BOTSO43,5,3
U4316,2016-06-14,D22,Chilko,Quadra Prep Lab,BOTSO41,5,3
U4420,2016-06-14,D22,Chilko,Quadra Prep Lab,BOTSO40,4,1
U4419,2016-06-14,D22,Chilko,Quadra Prep Lab,BOTSO40,4,1
U1792,2016-06-14,D09,Chilko,Quadra Prep Lab,BOTSO46,6,5
U4651,2016-05-22,J09,Chilko,Quadra Prep Lab,BOTSO46,6,5
U4326,2016-05-22,J09,Chilko,Quadra Prep Lab,BOTSO41,5,3
U4520,2016-05-27,J09,Chilko,Quadra Prep Lab,BOTSO41,5,3
U4547,2016-05-27,J09,Chilko,Quadra Prep Lab,BOTSO43,5,3
U4232,2016-05-28,J03,Chilko,Quadra Prep Lab,BOTSO34,4,1
U4232,2016-05-28,J03,Chilko,Quadra Prep Lab,BOTSO34,4,4
U1756,2016-06-02,J09,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U1752,2016-06-02,J09,Chilko,Quadra Prep Lab,BOTSO44,5,3
U1755,2016-06-02,J09,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U1759,2016-06-02,J09,Chilko,Quadra Prep Lab,BOTSO44,5,3
U1751,2016-06-02,J09,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4250,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,1
U4250,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,4
U4253,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,1
U4253,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,4
U4258,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,1
U4258,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,4
U4257,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,1
U4257,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,4
U4536,2016-06-04,J03,Chilko,Quadra Prep Lab,BOTSO41,5,3
U4622,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4625,2016-06-04,J03,Chilko,Quadra Prep Lab,BOTSO44,5,3
U4561,2016-06-04,J03,L_Adams,Quadra Prep Lab,BOTSO43,5,3
U4450,2016-06-09,J09,Chilko,Quadra Prep Lab,BOTSO43,5,3
U4381,2016-06-09,J09,Chilko,Quadra Prep Lab,BOTSO42,5,3
U4448,2016-06-09,J09,L_Adams,Quadra Prep Lab,BOTSO43,5,3
U4473,2016-06-09,J09,L_Adams,Quadra Prep Lab,BOTSO44,5,3
U4537,2016-06-09,J09,Chilko,Quadra Prep Lab,BOTSO43,5,3
U4264,2016-06-10,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,1
U4264,2016-06-10,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,4
U4265,2016-06-10,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,1
U4265,2016-06-10,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,4
U4261,2016-06-10,J03,Chilko,Quadra Prep Lab,BOTSO34,4,1
U4261,2016-06-10,J03,Chilko,Quadra Prep Lab,BOTSO34,4,4
U4263,2016-06-10,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,1
U4263,2016-06-10,J03,L_Adams,Quadra Prep Lab,BOTSO34,4,4
U4260,2016-06-10,J03,Chilko,Quadra Prep Lab,BOTSO34,4,1
U4260,2016-06-10,J03,Chilko,Quadra Prep Lab,BOTSO34,4,4
U2198,2016-06-10,J03,L_Adams,Quadra Prep Lab,BOTSO46,6,5
U2193,2016-06-10,J03,Chilko,Quadra Prep Lab,BOTSO46,6,5
U2194,2016-06-10,J03,Chilko,Quadra Prep Lab,BOTSO42,5,3
U2200,2016-06-10,J03,L_Adams,Quadra Prep Lab,BOTSO46,6,5
U2192,2016-06-10,J03,L_Adams,Quadra Prep Lab,BOTSO46,6,5
U1726,2016-06-18,J09,Chilko,Quadra Prep Lab,BOTSO46,6,5
U1728,2016-06-18,J09,L_Adams,Quadra Prep Lab,BOTSO46,6,5
U1730,2016-06-18,J09,L_Adams,Quadra Prep Lab,BOTSO46,6,5
U4308,2016-06-18,J09,L_Adams,Quadra Prep Lab,BOTSO34,4,1
U4308,2016-06-18,J09,L_Adams,Quadra Prep Lab,BOTSO34,4,4
U4178,2016-06-18,J09,Chilko,Quadra Prep Lab,BOTSO40,4,1
U4179,2016-06-18,J09,L_Adams,Quadra Prep Lab,BOTSO40,4,1
U4184,2016-06-18,J09,L_Adams,Quadra Prep Lab,BOTSO40,4,1
U4242,2016-06-23,J03,Chilko,Quadra Prep Lab,BOTSO34,4,1
U4242,2016-06-23,J03,Chilko,Quadra Prep Lab,BOTSO34,4,4
U4248,2016-06-23,J03,Chilko,Quadra Prep Lab,BOTSO34,4,1
U4248,2016-06-23,J03,Chilko,Quadra Prep Lab,BOTSO34,4,4
U4239,2016-06-23,J03,Chilko,Quadra Prep Lab,BOTSO34,4,1
U4239,2016-06-23,J03,Chilko,Quadra Prep Lab,BOTSO34,4,4
U4462,2016-06-23,J03,Chilko,Quadra Prep Lab,BOTSO43,5,3
