x,y,region,species,year,daily_percent
158,33.02478840611178,DI,pi_total,2015-2018,3.528556033592867
159,36.75539867282981,DI,pi_total,2015-2018,3.730610266718031
160,40.65164328056465,DI,pi_total,2015-2018,3.896244607734836
161,44.66919496990945,DI,pi_total,2015-2018,4.017551689344799
162,48.757600454030005,DI,pi_total,2015-2018,4.088405484120557
163,52.86269749659073,DI,pi_total,2015-2018,4.105097042560722
164,56.92943608540202,DI,pi_total,2015-2018,4.06673858881129
165,60.904798404902,DI,pi_total,2015-2018,3.975362319499986
166,64.7404938222166,DI,pi_total,2015-2018,3.8356954173146036
167,68.39514693444848,DI,pi_total,2015-2018,3.6546531122318697
168,71.83578730226738,DI,pi_total,2015-2018,3.440640367818901
169,75.03856491534239,DI,pi_total,2015-2018,3.202777613075014
170,77.98872808368795,DI,pi_total,2015-2018,2.9501631683455543
171,80.67998780619615,DI,pi_total,2015-2018,2.6912597225082067
172,83.11344279490484,DI,pi_total,2015-2018,2.4334549887086894
173,85.29625167119664,DI,pi_total,2015-2018,2.1828088762918014
174,87.24022126654091,DI,pi_total,2015-2018,1.9439695953442708
175,88.96044420766573,DI,pi_total,2015-2018,1.7202229411248169
176,90.47407657776952,DI,pi_total,2015-2018,1.5136323701037924
177,91.79930619673554,DI,pi_total,2015-2018,1.32522961896602
178,92.95452912717192,DI,pi_total,2015-2018,1.1552229304363806
179,93.95772833571122,DI,pi_total,2015-2018,1.0031992085393
180,94.82603369619558,DI,pi_total,2015-2018,0.8683053604843565
181,95.5754351460336,DI,pi_total,2015-2018,0.7494014498380182
182,96.22061880595427,DI,pi_total,2015-2018,0.6451836599206757
183,96.77489734810999,DI,pi_total,2015-2018,0.5542785421557141
184,97.25020930121866,DI,pi_total,2015-2018,0.47531195310867247
185,97.65716619093158,DI,pi_total,2015-2018,0.4069568897129159
186,98.00513069504352,DI,pi_total,2015-2018,0.3479645041119426
187,98.30231292228068,DI,pi_total,2015-2018,0.29718222723715826
188,98.55587529748477,DI,pi_total,2015-2018,0.25356237520409763
189,98.77203929661667,DI,pi_total,2015-2018,0.21616399913189355
190,98.95618944846063,DI,pi_total,2015-2018,0.18415015184396566
191,99.11297167555996,DI,pi_total,2015-2018,0.15678222709932754
192,99.2463842701745,DI,pi_total,2015-2018,0.13341259461454058
193,99.35986067749981,DI,pi_total,2015-2018,0.11347640732530806
194,99.45634386546892,DI,pi_total,2015-2018,0.09648318796911326
195,99.5383524639709,DI,pi_total,2015-2018,0.08200859850197162
131,0.07022149028165815,JS,pi_total,2015-2018,0.011534845970560287
132,0.08402160145000914,JS,pi_total,2015-2018,0.01380011116835099
133,0.10053101825404888,JS,pi_total,2015-2018,0.016509416804039737
134,0.120280467685039,JS,pi_total,2015-2018,0.01974944943099012
135,0.14390413335290034,JS,pi_total,2015-2018,0.023623665667861338
136,0.17215960374460745,JS,pi_total,2015-2018,0.028255470391707116
137,0.20595157235946435,JS,pi_total,2015-2018,0.03379196861485689
138,0.24635995440293,JS,pi_total,2015-2018,0.04040838204346564
139,0.29467318445048807,JS,pi_total,2015-2018,0.04831323004755808
140,0.3524275659013272,JS,pi_total,2015-2018,0.05775438145083911
141,0.42145365217375436,JS,pi_total,2015-2018,0.06902608627242718
142,0.5039307446653044,JS,pi_total,2015-2018,0.08247709249155005
143,0.6024506826041134,JS,pi_total,2015-2018,0.09851993793880898
144,0.7200921582685242,JS,pi_total,2015-2018,0.11764147566441086
145,0.8605067926388945,JS,pi_total,2015-2018,0.14041463437037027
146,1.0280181150937657,JS,pi_total,2015-2018,0.16751132245487121
147,1.2277343549264998,JS,pi_total,2015-2018,0.19971623983273412
148,1.4656755013035734,JS,pi_total,2015-2018,0.23794114637707353
149,1.7489143263417182,JS,pi_total,2015-2018,0.2832388250381448
150,2.0857298685998154,JS,pi_total,2015-2018,0.3368155422580972
151,2.4857700847879407,JS,pi_total,2015-2018,0.40004021618812535
152,2.9602178088319513,JS,pi_total,2015-2018,0.4744477240440106
153,3.52195060278076,JS,pi_total,2015-2018,0.5617327939488086
154,4.185680343338304,JS,pi_total,2015-2018,0.6637297405575442
155,4.968052319833624,JS,pi_total,2015-2018,0.7823719764953196
156,5.887676231683685,JS,pi_total,2015-2018,0.9196239118500609
157,6.965053061782352,JS,pi_total,2015-2018,1.0773768300986672
158,8.22235314732045,JS,pi_total,2015-2018,1.2573000855380974
159,9.682993378194615,JS,pi_total,2015-2018,1.4606402308741657
160,11.370957798968787,JS,pi_total,2015-2018,1.687964420774172
161,13.30980954557307,JS,pi_total,2015-2018,1.9388517466042838
162,15.52135752019635,JS,pi_total,2015-2018,2.2115479746232793
163,18.023973222012575,JS,pi_total,2015-2018,2.502615701816225
164,20.830605117673624,JS,pi_total,2015-2018,2.8066318956610488
165,23.946609525233885,JS,pi_total,2015-2018,3.1160044075602613
166,27.367601202977305,JS,pi_total,2015-2018,3.4209916777434195
167,31.07760772766102,JS,pi_total,2015-2018,3.710006524683717
168,35.047864647771824,JS,pi_total,2015-2018,3.9702569201108027
169,39.23658470552479,JS,pi_total,2015-2018,4.188720057752967
170,43.58995157426367,JS,pi_total,2015-2018,4.353366868738881
171,48.044422800281495,JS,pi_total,2015-2018,4.454471226017823
172,52.530202645895436,JS,pi_total,2015-2018,4.485779845613941
173,56.97551566475834,JS,pi_total,2015-2018,4.445313018862905
174,61.3111413440448,JS,pi_total,2015-2018,4.3356256792864585
175,65.47461249689832,JS,pi_total,2015-2018,4.163471152853518
176,69.41355416043264,JS,pi_total,2015-2018,3.9389416635343224
