ufn,semsp_id
U1220,2015-06-15-J03-SO-14
U1227,2015-06-15-J03-SO-2
U1226,2015-06-15-J03-SO-5
U1225,2015-06-15-J03-SO-6
U1243,2015-06-15-J03-SO-7
U1347,2015-05-26-J03-SO-1
U603,2015-05-26-J03-SO-10
U477,2015-05-26-J03-SO-11
U692,2015-05-26-J03-SO-13
U691,2015-05-26-J03-SO-15
U475,2015-05-26-J03-SO-3
U1327,2015-07-01-J03-SO-1
U1309,2015-07-01-J03-SO-2
U2220,2016-06-18-J03-SO-1
U2216,2016-06-18-J03-SO-2
U2218,2016-06-18-J03-SO-3
U2217,2016-06-18-J03-SO-4
U2219,2016-06-18-J03-SO-5
U2215,2016-06-18-J03-SO-6
U4262,2016-06-10-J03-SO-13
U4259,2016-06-10-J03-SO-14
U4265,2016-06-10-J03-SO-15
U4268,2016-06-10-J03-SO-16
U4261,2016-06-10-J03-SO-17
U4263,2016-06-10-J03-SO-18
U4266,2016-06-10-J03-SO-19
U4348,2016-05-28-J03-SO-11
U4346,2016-05-28-J03-SO-12
U4368,2016-05-28-J03-SO-13
U4349,2016-05-28-J03-SO-15
U4347,2016-05-28-J03-SO-16
U4350,2016-05-28-J03-SO-18
U4367,2016-05-28-J03-SO-19
U4437,2016-06-23-J03-SO-21
U4436,2016-06-23-J03-SO-22
U4462,2016-06-23-J03-SO-23
U4416,2016-06-23-J03-SO-24
U4409,2016-06-23-J03-SO-25
U4461,2016-06-23-J03-SO-26
U4533,2016-06-04-J03-SO-11
U4536,2016-06-04-J03-SO-12
U4534,2016-06-04-J03-SO-13
U4535,2016-06-04-J03-SO-14
U4560,2016-06-04-J03-SO-15
U4622,2016-06-04-J03-SO-16
U4855,2015-06-08-J03-SO-16
U4854,2015-06-08-J03-SO-18
U1031,2015-05-31-J03-SO-1
U1016,2015-05-31-J03-SO-11
U1017,2015-05-31-J03-SO-12
U1010,2015-05-31-J03-SO-17
U1015,2015-05-31-J03-SO-18
U1008,2015-05-31-J03-SO-2
U10081,2017-05-25-D09-SO-1
U10082,2017-05-25-D09-SO-2
U10083,2017-05-25-D09-SO-3
U10561,2017-06-07-D09-SO-1
U10562,2017-06-07-D09-SO-2
U10563,2017-06-07-D09-SO-3
U10564,2017-06-07-D09-SO-4
U10565,2017-06-07-D09-SO-5
U10566,2017-06-07-D09-SO-6
U11121,2017-06-20-D09-SO-1
U11122,2017-06-20-D09-SO-2
U11123,2017-06-20-D09-SO-3
U11281,2017-07-05-D09-SO-1
U11282,2017-07-05-D09-SO-2
