"","ufn","semsp_id","sample_type","sample_id","container_id","container_cell","sample_location","comments_sample","sample_status","sample_qc_flag","sample_flag_reason","sample_qc_log","container_type","storage_medium","date_updated","current_location","storage_unit","storage_tier_1","storage_tier_2","shipping_container","date_shipped","shipping_destination","date_received","expecting_return","date_returned","comments"
"35","U1964","2016-05-19-D07-SO-29","fatty_acid","S1964FA1","BFASO31",56,"BFASO31-56",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"36","U1984","2016-07-05-J07-SO-14","fatty_acid","S1984FA1","BFASO31",66,"BFASO31-66",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"37","U1986","2016-07-05-J07-SO-13","fatty_acid","S1986FA1","BFASO31",68,"BFASO31-68",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"38","U1987","2016-07-05-J07-SO-11","fatty_acid","S1987FA1","BFASO31",69,"BFASO31-69",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"39","U1990","2016-07-05-J07-SO-15","fatty_acid","S1990FA1","BFASO31",72,"BFASO31-72",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"40","U2071","2016-07-05-J07-SO-12","fatty_acid","S2071FA1","BFASO31",73,"BFASO31-73",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 7",NA,NA,NA,NA,NA,NA,NA
"41","U2300","2016-06-03-J07-SO-11","fatty_acid","S2300FA1","BFASO34",42,"BFASO34-42",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 8",NA,NA,NA,NA,NA,NA,NA
"42","U2414","2016-06-03-J07-SO-12","fatty_acid","S2414FA1","BFASO34",50,"BFASO34-50",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 8",NA,NA,NA,NA,NA,NA,NA
"43","U2415","2016-06-03-J07-SO-13","fatty_acid","S2415FA1","BFASO34",51,"BFASO34-51",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 8",NA,NA,NA,NA,NA,NA,NA
"44","U2417","2016-06-03-J07-SO-14","fatty_acid","S2417FA1","BFASO34",55,"BFASO34-55",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 8",NA,NA,NA,NA,NA,NA,NA
