UFN,UFN,BOX #,WELL #,UFN,NOTES
U300,U300,103,37,U300,
U331,U331,103,38,U331,
U319,U319,103,39,U319,
U332,U332,103,40,U332,
U320,U320,103,41,U320,
U310,U310,103,42,U310,
U333,U333,103,43,U333,
U341,U341,103,44,U341,
U334,U334,103,45,U334,
U309,U309,103,46,U309,
U351,U351,103,47,U351,
U335,U335,103,48,U335,
U336,U336,103,49,U336,
U355,U355,103,50,U355,
U361,U361,103,51,U361,
U356,U356,103,52,U356,
U342,U342,103,53,U342,
U343,U343,103,54,U343,
U347,U347,103,55,U347,
U348,U348,103,56,U348,
U362,U362,103,57,U362,
U357,U357,103,58,U357,
U363,U363,103,59,U363,
U349,U349,103,60,U349,
U350,U350,103,61,U350,
U817,U817,103,62,U817,
U832,U832,103,63,U832,
U818,U818,103,64,U818,
U824,U824,103,65,U824,
U759,U759,103,66,U759,
U819,U819,103,67,U819,
U820,U820,103,68,U820,
U760,U760,103,69,U760,
U833,U833,103,70,U833,
U834,U834,103,71,U834,
U839,U839,103,72,U839,
U825,U825,103,73,U825,
U848,U848,103,74,U848,
U827,U827,103,75,U827,
U828,U828,103,76,U828,
U862,U862,103,77,U862,
1840,U1840,104,1,U1840,
1851,U1851,104,2,U1851,
1852,U1852,104,3,U1852,
1853,U1853,104,4,U1853,
1953,U1953,104,5,U1953,
1679,U1679,104,6,U1679,
1680,U1680,104,7,U1680,
1681,U1681,104,8,U1681,
1682,U1682,104,9,U1682,
1683,U1683,104,10,U1683,
1684,U1684,104,11,U1684,
1685,U1685,104,12,U1685,
1686,U1686,104,13,U1686,
1687,U1687,104,14,U1687,
1999,U1999,104,15,U1999,
2000,U2000,104,16,U2000,
2001,U2001,104,17,U2001,
2002,U2002,104,18,U2002,
2003,U2003,104,19,U2003,
2011,U2011,104,20,U2011,
1959,U1959,104,21,U1959,
2012,U2012,104,22,U2012,
1960,U1960,104,23,U1960,
2013,U2013,104,24,U2013,
2021,U2021,104,25,U2021,
2014,U2014,104,26,U2014,
2022,U2022,104,27,U2022,
2015,U2015,104,28,U2015,
2016,U2016,104,29,U2016,
U946,U946,104,30,U946,
U985,U985,104,31,U985,
U958,U958,104,32,U958,
U986,U986,104,33,U986,
U959,U959,104,34,U959,
U987,U987,104,35,U987,
U960,U960,104,36,U960,
U992,U992,104,37,U992,
U993,U993,104,38,U993,
U994,U994,104,39,U994,
U988,U988,104,40,U988,
U1001,U1001,104,41,U1001,
U1002,U1002,104,42,U1002,
U989,U989,104,43,U989,
U990,U990,104,44,U990,
U1003,U1003,104,45,U1003,
U1011,U1011,104,46,U1011,
U1004,U1004,104,47,U1004,
U1012,U1012,104,48,U1012,
U995,U995,104,49,U995,
U996,U996,104,50,U996,
U997,U997,104,51,U997,
U998,U998,104,52,U998,
U307,U307,104,53,U307,
