ufn,species,year,location
U210,SO,2015,in_freezer
U218,SO,2015,in_freezer
U217,SO,2015,in_freezer
U241,SO,2015,in_freezer
U234,SO,2015,in_freezer
U216,SO,2015,in_freezer
U236,SO,2015,in_freezer
U243,SO,2015,in_freezer
U237,SO,2015,in_freezer
U244,SO,2015,in_freezer
U220,SO,2015,in_freezer
U239,SO,2015,in_freezer
U238,SO,2015,in_freezer
U222,SO,2015,in_freezer
U219,SO,2015,in_freezer
U221,SO,2015,in_freezer
U242,SO,2015,in_freezer
U1318,SO,2015,in_freezer
U1298,SO,2015,in_freezer
U876,SO,2015,in_freezer
U915,SO,2015,in_freezer
U877,SO,2015,in_freezer
U908,SO,2015,in_freezer
U907,SO,2015,in_freezer
U914,SO,2015,in_freezer
U910,SO,2015,in_freezer
U909,SO,2015,in_freezer
U868,SO,2015,in_freezer
U869,SO,2015,in_freezer
U870,SO,2015,in_freezer
U867,SO,2015,in_freezer
U891,SO,2015,in_freezer
U866,SO,2015,in_freezer
U882,SO,2015,in_freezer
U883,SO,2015,in_freezer
U881,SO,2015,in_freezer
U884,SO,2015,in_freezer
U749,SO,2015,in_freezer
U1184,SO,2015,in_freezer
U750,SO,2015,in_freezer
U1117,SO,2015,in_freezer
U1381,SO,2015,in_freezer
U1371,SO,2015,in_freezer
U1382,SO,2015,in_freezer
U1185,SO,2015,in_freezer
U1118,SO,2015,in_freezer
U855,SO,2015,in_freezer
U934,SO,2015,in_freezer
U931,SO,2015,in_freezer
U933,SO,2015,in_freezer
U879,SO,2015,in_freezer
U878,SO,2015,in_freezer
U917,SO,2015,in_freezer
U935,SO,2015,in_freezer
U916,SO,2015,in_freezer
U932,SO,2015,in_freezer
U854,SO,2015,in_freezer
U737,SO,2015,in_freezer
U786,SO,2015,in_freezer
U785,SO,2015,in_freezer
U736,SO,2015,in_freezer
U735,SO,2015,in_freezer
U763,SO,2015,in_freezer
U738,SO,2015,in_freezer
U787,SO,2015,in_freezer
U764,SO,2015,in_freezer
U762,SO,2015,in_freezer
U765,SO,2015,in_freezer
U1168,SO,2015,in_freezer
U1169,SO,2015,in_freezer
U1160,SO,2015,in_freezer
U1193,SO,2015,in_freezer
U1173,SO,2015,in_freezer
U1157,SO,2015,in_freezer
U1155,SO,2015,in_freezer
U1164,SO,2015,in_freezer
U1191,SO,2015,in_freezer
U1156,SO,2015,in_freezer
U594,SO,2015,in_freezer
U611,SO,2015,in_freezer
U580,SO,2015,in_freezer
U633,SO,2015,in_freezer
U579,SO,2015,in_freezer
U595,SO,2015,in_freezer
U634,SO,2015,in_freezer
U631,SO,2015,in_freezer
U596,SO,2015,in_freezer
U632,SO,2015,in_freezer
U612,SO,2015,in_freezer
