ufn,seine_id.x,lice_id_protocol,cal_cope,lep_cope,chal_a,chal_b,cgf,cal_mot,cpaf,caf,lpam,lpaf,lam,laf,lgf,unid_cope,unid_chal,chal_scar,mot_scar,pred_scar,hemorrhaging,eroded_gill_plate,grazed_gill_plate,mate_guarding,pinched_belly,sealice_field_comments,licer,qc.x.x,species,package_id,seine_id.y,survey_id,date,site,time_out,weight,fork_length,height,time_dewar,field_lice_id_protocol,fish_field_comments,analysis_planned,id_flag,eLab?,qc.y,order,set_number,set_type,set_time,lat,lon,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,total_caught,collection_protocol,seine_comments,qc.x,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,survey_type,ysi_drop,ctd_drop,zoop_drop,survey_comments,qc.y.y
U20268,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JG,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:12:00,2.8,75,12,09:31:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,43,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20269,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:14:00,2.9,73,12,09:31:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,44,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20270,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JG,JG,PI,P1227,DE608N1,DE608,2019-05-22,D27,09:15:00,3.9,84,14,09:31:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,45,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20271,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JG,JG,CU,P1228,DE608N1,DE608,2019-05-22,D27,08:38:00,4,76,12,09:02:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,46,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20272,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JG,JG,CU,P1228,DE608N1,DE608,2019-05-22,D27,08:52:00,3.4,74,14,09:02:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,47,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U20273,DE608N1,salmoncoast_motiles,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JG,JG,CU,P1228,DE608N1,DE608,2019-05-22,D27,08:53:00,3.5,77,9,09:02:00,salmoncoast_motiles,NA,SEMSP,N,yes,JG,48,1,targeted,08:25:00,50.2688,-125.357533,0,10,0,yes,0,0,10,456,3,3,0,0,0,0,0,0,459,SEMSP,1 pink escaped; collected 376 pink for Andrea Frommer's ocean acidification experiment,JG,2019-05-22,D27,DI,W,Granite Point,"Sam James, Tyrel Froese, Lauren Portner, Julian Gan",none,0,3,10-15,NW,high slack,07:42:00,07:57:00,1,standard,12,3,"4,5,6,7",NA,JG
U21801,JE506N1,salmoncoast_allstages,1,0,5,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Louse left in jug, retrieved",KD,EP,SO,P1381,JE506N1,JE506,2019-05-26,J11,07:56:00,18.8,124,26,08:21:00,salmoncoast_allstages,NA,SEMSP,N,yes,EP,140,1,targeted,07:16:00,50.54025,-126.78289,10,1,10,yes,10,185,0,0,10,518,0,37,0,0,0,0,740,SEMSP,NA,EP,2019-05-26,J11,JS,S,Blinkhorn Bay,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",none,0,0,0,NA,flood,06:36:00,06:52:00,1,standard,12,3,"4,5","beginning of zoop drop 4 miscast to 2m, not cleaned",EP
U21802,JE506N1,salmoncoast_allstages,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP,EP,SO,P1381,JE506N1,JE506,2019-05-26,J11,08:42:00,14.3,113,22,08:57:00,salmoncoast_allstages,NA,SEMSP,N,yes,EP,141,1,targeted,07:16:00,50.54025,-126.78289,10,1,10,yes,10,185,0,0,10,518,0,37,0,0,0,0,740,SEMSP,NA,EP,2019-05-26,J11,JS,S,Blinkhorn Bay,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",none,0,0,0,NA,flood,06:36:00,06:52:00,1,standard,12,3,"4,5","beginning of zoop drop 4 miscast to 2m, not cleaned",EP
U21803,JE506N1,salmoncoast_allstages,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ANF,EP,EP,SO,P1381,JE506N1,JE506,2019-05-26,J11,08:22:00,17.5,125,25,08:44:00,salmoncoast_allstages,NA,SEMSP,N,yes,EP,142,1,targeted,07:16:00,50.54025,-126.78289,10,1,10,yes,10,185,0,0,10,518,0,37,0,0,0,0,740,SEMSP,NA,EP,2019-05-26,J11,JS,S,Blinkhorn Bay,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",none,0,0,0,NA,flood,06:36:00,06:52:00,1,standard,12,3,"4,5","beginning of zoop drop 4 miscast to 2m, not cleaned",EP
U21804,JE506N1,salmoncoast_allstages,1,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ANF,KD,EP,SO,P1381,JE506N1,JE506,2019-05-26,J11,08:44:00,14.8,118,24,09:01:00,salmoncoast_allstages,NA,SEMSP,N,yes,EP,143,1,targeted,07:16:00,50.54025,-126.78289,10,1,10,yes,10,185,0,0,10,518,0,37,0,0,0,0,740,SEMSP,NA,EP,2019-05-26,J11,JS,S,Blinkhorn Bay,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",none,0,0,0,NA,flood,06:36:00,06:52:00,1,standard,12,3,"4,5","beginning of zoop drop 4 miscast to 2m, not cleaned",EP
