sampleID,barcode,name,description,note,quantity,expiration,created,Storage,storageLayerName,Storage Position,storageLayerID,fullName,clonedFrom,clonedFromSampleID,Sample Status,Tissue Type
7202256,S20887RG1,S20887RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,B.2,599576,elab JSP,,,Collected,Gill
7202258,S22095RG1,S22095RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,D.2,599576,elab JSP,,,Collected,Gill
7202259,S22096RG1,S22096RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,E.2,599576,elab JSP,,,Collected,Gill
7202261,S22091RG1,S22091RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,G.2,599576,elab JSP,,,Collected,Gill
7202262,S22092RG1,S22092RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,F.2,599576,elab JSP,,,Collected,Gill
7202264,S22099RG1,S22099RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,H.2,599576,elab JSP,,,Collected,Gill
7202267,S22098RG1,S22098RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,A.3,599576,elab JSP,,,Collected,Gill
7202268,S22093RG1,S22093RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,C.3,599576,elab JSP,,,Collected,Gill
7202270,S22097RG1,S22097RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,B.3,599576,elab JSP,,,Collected,Gill
7202271,S22094RG1,S22094RG1,,,,,2019-07-10 1:13,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,D.3,599576,elab JSP,,,Collected,Gill
7207719,S21641RG1,S21641RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,F.8,597164,elab JSP,,,Collected,Gill
7207721,S21643RG1,S21643RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.8,597164,elab JSP,,,Collected,Gill
7207722,S21642RG1,S21642RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.8,597164,elab JSP,,,Collected,Gill
7207724,S21644RG1,S21644RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.8,597164,elab JSP,,,Collected,Gill
7207725,S21645RG1,S21645RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,B.8,597164,elab JSP,,,Collected,Gill
7207727,S22011RG1,S22011RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.5,597164,elab JSP,,,Collected,Gill
7207728,S21646RG1,S21646RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,A.8,597164,elab JSP,,,Collected,Gill
7207731,S22014RG1,S22014RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.5,597164,elab JSP,,,Collected,Gill
