survey_id,survey_date,site_id,site_name.x,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,survey_type,ysi_drop,ctd_drop,survey_comments,qc.x,site_name.y,region,zone,set_number,seine_id,set_type,lat,lon,set_time,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,total_caught,collection_protocol,seine_comments,qc.y
DE721,2020-07-06,D09,NA,Krystal Bachen; Julian Gan;Tim Van Der Stap,none,25,0,,NW,ebb,1899-12-30T06:48:00Z,1899-12-30T07:02:00Z,2,standard,1;2;3;5,,NA,JG,Okisollo Channel,DI,C,2,DE721N2,targeted,50.30685,-125.333,1899-12-30T07:51:00Z,0,1,0,yes,2,2,10,10,0,0,2,3,0,0,0,0,15,SEMSP,released one coho because it was to large to retain,JG
DE722,2020-07-07,D27,NA,Nick Sinclair; Krystal Bachen; Julian Gan;Tim Van Der Stap,none,100,3,,N,ebb,1899-12-30T06:40:00Z,1899-12-30T06:53:00Z,2,standard,1;2;4;8,,NA,JG,Granite Point,DI,W,1,DE722N1,targeted,50.26861666666667,-125.36036666666666,1899-12-30T07:27:00Z,0,1,0,no,0,0,0,11,0,0,0,0,0,0,0,0,11,SEMSP,NA,JG
DE722,2020-07-07,D27,NA,Nick Sinclair; Krystal Bachen; Julian Gan;Tim Van Der Stap,none,100,3,,N,ebb,1899-12-30T06:40:00Z,1899-12-30T06:53:00Z,2,standard,1;2;4;8,,NA,JG,Granite Point,DI,W,2,DE722N2,targeted,50.269083333333334,-125.36,1899-12-30T07:53:00Z,0,1,0,yes,1,1,10,39,2,2,0,1,0,0,0,0,43,SEMSP,released one coho because it was to large to retain,JG
DE801,2021-05-17,D09,Okisollo Channel,Krystal Bachen; Natalie Benoit; Tim Van Der Stap,none,75,1,,SE,ebb,1899-12-30T06:47:00Z,1899-12-30T07:01:00Z,3,standard,"1,2,3",,no site activity observed,TVDS,Okisollo Channel,DI,C,1,DE801N1,targeted,50.3075,-125.3325,1899-12-30T07:35:00Z,0,0,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,TVDS
DE801,2021-05-17,D09,Okisollo Channel,Krystal Bachen; Natalie Benoit; Tim Van Der Stap,none,75,1,,SE,ebb,1899-12-30T06:47:00Z,1899-12-30T07:01:00Z,3,standard,"1,2,3",,no site activity observed,TVDS,Okisollo Channel,DI,C,2,DE801N2,targeted,50.307633,-125.331433,1899-12-30T08:06:00Z,0,0,1,no,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,TVDS
DE801,2021-05-17,D09,Okisollo Channel,Krystal Bachen; Natalie Benoit; Tim Van Der Stap,none,75,1,,SE,ebb,1899-12-30T06:47:00Z,1899-12-30T07:01:00Z,3,standard,"1,2,3",,no site activity observed,TVDS,Okisollo Channel,DI,C,3,DE801N3,targeted,50.307433,-125.334583,1899-12-30T09:22:00Z,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,TVDS
DE802,2021-05-21,D10,Hall Point,Nicholas Sinclair; Krystal Bachen; Natalie Benoit,none,25,2,,N,ebb,1899-12-30T07:13:00Z,1899-12-30T07:28:00Z,1,standard,"1,2,4,5,",,No seen activity,TVDS,Hall Point,DI,E,1,DE802N1,targeted,50.442383,-125.277267,1899-12-30T08:05:00Z,0,1,0,yes,0,0,11,2548,1,26,0,0,0,0,0,0,2574,SEMSP,1 extra pink taken for eDNA carly: census done by one person because tally counter broken,TVDS
DE803,2021-05-25,D09,Okisollo Channel,Krystal Bachen; Natalie Benoit; Tim Van Der Stap,light,100,0,,"NA",ebb,1899-12-30T06:52:00Z,1899-12-30T07:05:00Z,3,standard,"1,3",,"No eDNA, bottles were not ready",TVDS,Okisollo Channel,DI,C,1,DE803N1,targeted,50.308367,-125.329583,1899-12-30T07:44:00Z,0,1,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,TVDS
DE803,2021-05-25,D09,Okisollo Channel,Krystal Bachen; Natalie Benoit; Tim Van Der Stap,light,100,0,,"NA",ebb,1899-12-30T06:52:00Z,1899-12-30T07:05:00Z,3,standard,"1,3",,"No eDNA, bottles were not ready",TVDS,Okisollo Channel,DI,C,2,DE803N2,targeted,50.308467,-125.32935,1899-12-30T07:59:00Z,0,0,10,no,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,mystery fish in net.. dissapeard before we could ID them...Not sure where they went.,TVDS
DE803,2021-05-25,D09,Okisollo Channel,Krystal Bachen; Natalie Benoit; Tim Van Der Stap,light,100,0,,"NA",ebb,1899-12-30T06:52:00Z,1899-12-30T07:05:00Z,3,standard,"1,3",,"No eDNA, bottles were not ready",TVDS,Okisollo Channel,DI,C,3,DE803N3,targeted,50.3084,-125.329367,1899-12-30T08:32:00Z,0,0,1,yes,3,3,10,107,13,159,0,0,0,0,0,0,269,SEMSP,"2 chum taken for eDNA (Carly), 1 chum taken with weird highliter yellow marks on face; census done with one person counting because tally counter broken",TVDS
