survey_id,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,ysi_cast_id_0,ysi_cast_id_1,ctd_cast_id,zoop_sample_id,secchi,net_sets,survey_comments,sampling_week
DE180,2015-06-13,D08,DI,W,Calm Channel,"Brett Johnson, Kristi Inman, Luke Rogers",none,0,3,5-10,NA,NA,"NA","NA",NA,NA,NA,NA,NA,0,No surface activity,June 16
DE181,2015-06-13,D03,DI,E,Sutil Narrows,"Brett Johnson, Kristi Inman, Luke Rogers",none,0,1,0.1-5,N,NA,"NA","NA",NA,NA,NA,NA,NA,0,No surface activity,June 16
DE182,2015-06-13,D07,DI,C,Hoskyn Channel,"Brett Johnson, Kristi Inman, Luke Rogers",none,0,1,5-10,NW,NA,"NA","NA",15B102233_2015-06-13 16:36:00_0,15B102233_2015-06-13 16:36:00_1,NA,QPK1049,11.4,1,NA,June 16
DE183,2015-06-14,D09,DI,C,Okisollo Channel,"Luke Rogers, Carolyn Knapper, Brett Johnson",none,0,0,0,NA,NA,"NA","NA",15B102233_2015-06-14 10:05:00_0,15B102233_2015-06-14 10:05:00_1,NA,QPK1050,13.2,2,NA,June 16
DE184,2015-06-14,D11,DI,NA,Turn Island,"Luke Rogers, Carolyn Knapper, Brett Johnson",none,0,1,0.1-5,W,NA,"NA","NA",15B102233_2015-06-14 12:54:00_0,15B102233_2015-06-14 12:54:00_1,NA,QPK1051,15.6,1,NA,June 16
DE185,2015-06-14,D10,DI,W,Hall Point,"Luke Rogers, Carolyn Knapper, Brett Johnson",none,0,0,0,NA,NA,"NA","NA",NA,NA,NA,NA,NA,2,No sockeye in sets,June 16
DE186,2015-06-15,D09,DI,C,Okisollo Channel,"Luke Rogers, Brett Johnson, Alex Hare",none,0,1,0.1-5,SW,NA,"NA","NA",NA,NA,NA,NA,NA,1,No sockeye in set,June 16
DE187,2015-06-15,D06,DI,W,Gowlland Harbour,"Luke Rogers, Brett Johnson, Alex Hare",none,0,1,0.1-5,NW,NA,"NA","NA",NA,NA,NA,NA,NA,0,No surface activity,June 16
DE188,2015-06-15,D04,DI,W,Fransisco Point,"Luke Rogers, Brett Johnson, Alex Hare",none,0,1,0.1-5,NE,NA,"NA","NA",NA,NA,NA,NA,NA,0,No surface activity,June 16
DE189,2015-06-15,D07,DI,C,Hoskyn Channel,"Luke Rogers, Brett Johnson, Alex Hare",none,0,1,0.1-5,N,NA,"NA","NA",NA,NA,NA,NA,NA,1,No sockeye in set,June 16
