ufn,cm_lab,cpaf_lab,caf_lab,cgf_lab,lgf_lab,laf_lab,lpaf_lab,lpam_lab,lam_lab,ucal_lab,ulep_lab,lab_count_no_id,lice_collection_protocol,lice_id_protocol_lab
U638,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U639,1,0,0,0,0,0,0,0,0,0,0,22,labcount_2015,lportner
U640,1,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U641,0,0,1,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U642,1,1,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U647,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U649,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U650,2,0,2,1,0,0,0,0,0,0,0,46,labcount_2015,lportner
U651,0,0,0,0,0,0,0,0,0,1,0,14,labcount_2015,lportner
U654,0,0,0,0,0,0,0,1,0,0,0,3,labcount_2015,lportner
U655,0,2,1,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U656,1,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U657,1,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U658,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U663,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U667,1,2,0,0,0,0,0,0,0,0,0,19,labcount_2015,lportner
U671,1,1,0,0,0,0,0,0,0,0,0,30,labcount_2015,lportner
U675,2,1,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U679,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U680,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U683,1,1,0,0,0,0,0,0,0,0,0,14,labcount_2015,lportner
U684,1,1,0,1,0,0,0,0,0,0,0,14,labcount_2015,lportner
U688,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U689,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U690,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U693,0,1,0,0,0,0,0,0,0,0,0,16,labcount_2015,lportner
U694,0,0,0,0,0,0,0,0,0,0,0,15,labcount_2015,lportner
U695,0,1,1,0,0,0,0,0,0,0,0,23,labcount_2015,lportner
U696,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U697,1,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U701,0,1,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U702,0,0,1,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U703,0,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U709,1,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U710,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U713,2,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U716,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U718,0,2,0,0,0,0,0,0,0,0,0,21,labcount_2015,lportner
U725,1,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U726,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U727,1,1,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U728,0,0,0,0,0,0,0,0,0,0,0,15,labcount_2015,lportner
U730,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U731,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U732,2,1,0,1,0,0,0,0,0,0,0,12,labcount_2015,lportner
U733,0,1,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U751,1,2,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U752,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U753,2,0,1,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U755,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U757,1,0,0,0,0,0,0,0,0,0,0,22,labcount_2015,lportner
U759,0,0,0,0,0,0,0,0,0,0,0,15,labcount_2015,lportner
U760,0,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U767,0,1,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U768,0,1,0,0,0,0,0,0,0,0,0,14,labcount_2015,lportner
U769,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U770,0,0,0,1,0,0,0,0,0,0,0,2,labcount_2015,lportner
U771,0,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U772,0,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U773,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U774,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U775,2,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U776,0,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U791,0,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U793,0,0,1,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U794,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U795,0,0,0,0,0,0,0,0,0,0,0,13,labcount_2015,lportner
U796,0,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U801,1,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U802,0,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U803,0,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U817,0,0,1,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U818,1,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U819,1,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U820,0,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U824,1,0,0,0,0,0,0,0,0,0,0,25,labcount_2015,lportner
U825,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U827,0,0,0,0,0,0,0,0,0,0,0,27,labcount_2015,lportner
U828,1,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U829,1,0,0,0,0,0,0,0,0,0,0,17,labcount_2015,lportner
U830,1,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U832,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U833,0,1,0,0,0,0,1,0,0,0,0,12,labcount_2015,lportner
U834,0,0,0,0,0,0,0,0,0,0,0,13,labcount_2015,lportner
U839,0,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U848,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U851,0,0,0,0,0,0,0,0,0,0,0,19,labcount_2015,lportner
U852,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U853,3,1,0,1,0,0,0,0,0,0,0,9,labcount_2015,lportner
U862,0,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U863,0,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U865,0,1,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U871,0,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U872,0,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U873,0,0,1,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U874,0,0,0,1,0,0,0,0,0,0,0,6,labcount_2015,lportner
U875,0,0,1,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U885,0,0,0,0,0,0,0,0,0,0,0,14,labcount_2015,lportner
U886,0,1,0,0,0,0,0,0,0,0,0,22,labcount_2015,lportner
U887,0,1,0,0,0,0,0,0,0,0,0,15,labcount_2015,lportner
U888,1,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U889,1,0,0,0,0,0,0,0,1,0,0,25,labcount_2015,lportner
U890,1,1,0,0,0,0,0,0,0,0,0,13,labcount_2015,lportner
U892,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U893,1,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U894,1,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U895,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U896,0,0,0,0,0,0,0,0,0,0,0,13,labcount_2015,lportner
U897,1,0,0,1,0,0,0,0,0,0,0,3,labcount_2015,lportner
U898,1,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U899,0,0,0,1,0,0,0,0,0,0,0,1,labcount_2015,lportner
U900,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U901,1,0,0,0,0,0,0,0,0,1,0,5,labcount_2015,lportner
U902,1,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U903,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U904,1,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U905,1,1,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U906,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U911,0,0,1,1,0,0,0,0,0,0,0,14,labcount_2015,lportner
U913,1,0,0,0,0,0,0,0,0,0,0,19,labcount_2015,lportner
U929,1,0,0,1,0,0,0,0,0,0,0,11,labcount_2015,lportner
U940,2,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U941,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U942,0,0,0,0,0,0,0,0,0,0,0,15,labcount_2015,lportner
U946,1,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U951,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U952,0,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U959,0,1,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U962,2,0,0,1,0,0,0,0,0,0,0,16,labcount_2015,lportner
U964,0,1,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U965,1,1,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U985,1,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U986,0,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U987,1,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U988,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U989,1,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U990,0,0,0,0,0,0,0,0,0,0,0,0,labcount_2015,lportner
U992,0,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U994,0,1,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U995,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U996,1,3,0,1,0,0,0,0,0,0,0,17,labcount_2015,lportner
U997,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U998,0,0,0,1,0,0,0,0,0,0,0,10,labcount_2015,lportner
U1001,0,0,0,0,0,0,0,0,0,0,0,0,labcount_2015,lportner
U1002,0,0,0,0,0,0,0,0,0,0,0,0,labcount_2015,lportner
U1003,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U1004,1,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U1012,0,0,0,0,0,0,0,0,0,0,0,16,labcount_2015,lportner
U1018,1,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U1019,0,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U1020,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U1023,0,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U1024,1,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U1025,3,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U1026,0,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U1027,4,1,0,3,0,0,0,0,0,0,0,19,labcount_2015,lportner
U1042,1,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U1043,0,0,0,0,0,0,0,0,0,0,0,13,labcount_2015,lportner
U1044,1,0,0,1,0,0,0,0,0,0,0,14,labcount_2015,lportner
U1061,0,0,0,0,0,0,0,0,0,0,0,0,labcount_2015,lportner
U1062,0,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U1063,1,1,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U1064,0,1,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U1066,1,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U1067,0,1,0,0,0,0,0,0,0,1,0,13,labcount_2015,lportner
U1068,0,0,0,0,0,0,0,0,0,0,0,24,labcount_2015,lportner
U1070,0,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U1074,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U1075,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U1076,2,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U1078,0,2,0,0,0,0,0,0,0,0,0,14,labcount_2015,lportner
U1079,0,1,0,0,0,0,0,0,0,0,0,18,labcount_2015,lportner
U1083,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U1084,0,2,1,0,0,0,0,0,0,0,0,14,labcount_2015,lportner
U1085,0,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U1086,0,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U1087,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U1088,0,1,1,0,0,0,0,0,0,0,0,24,labcount_2015,lportner
U1092,1,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U1093,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U1094,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U1102,0,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U1103,0,0,0,0,0,0,0,0,0,1,0,11,labcount_2015,lportner
U1104,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U1105,0,1,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U1106,0,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U1107,1,1,0,0,0,0,0,0,0,0,0,16,labcount_2015,lportner
U1122,1,0,0,0,0,0,0,0,0,0,0,13,labcount_2015,lportner
U1123,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U1125,0,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U1126,1,0,1,0,0,0,0,0,0,0,0,14,labcount_2015,lportner
U1127,1,0,0,1,0,0,0,0,0,0,0,23,labcount_2015,lportner
U1128,0,0,0,0,0,0,0,0,0,0,0,18,labcount_2015,lportner
U1131,1,0,0,0,0,0,0,0,0,0,0,20,labcount_2015,lportner
U1132,1,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U1133,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U1134,1,0,0,0,0,0,0,0,0,0,0,20,labcount_2015,lportner
U1135,0,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U1136,2,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U1137,2,0,0,0,0,0,0,0,0,0,0,15,labcount_2015,lportner
U1138,0,0,0,0,0,0,0,0,0,0,0,10,labcount_2015,lportner
U1139,0,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U1141,0,2,0,0,0,0,0,0,0,0,0,17,labcount_2015,lportner
U1142,0,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U1143,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U1178,1,0,0,1,0,0,0,0,0,0,0,6,labcount_2015,lportner
U1179,2,0,0,1,0,0,0,0,0,0,0,11,labcount_2015,lportner
U1180,0,0,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
