sample_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
SDN995,Chilko,3,0.99,Chilko-North,3,0.01,L_Adams,4,0,NA,NA,NA,NA,NA,NA
SDN996,Gates_Cr,2,0.66,Quesnel_Decept,3,0.24,Seymour,2,0.09,Chilko,3,0.01,L_Adams,4,0
SDN983,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN984,Seymour,2,0.95,Scotch,2,0.05,L_Adams,4,0,Eagle,2,0,NA,NA,NA
SDN985,Pitt,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN986,Chilko,3,0.97,Chilko-North,3,0.01,Chilko_south,2,0.01,Middle,3,0.01,L_Adams,4,0
SDN997,Seymour,2,0.62,L_Adams,4,0.34,Scotch,2,0.02,Portage_Cr,4,0.01,Kuzkwa_Cr,3,0.01
SDN998,Birkenhead,3,0.91,Pitt,2,0.06,Chilko,3,0.02,Weaver,4,0.01,Kuzkwa_Cr,3,0
SDN999,Scotch,2,0.66,Seymour,2,0.33,L_Adams,4,0,Eagle,2,0,MiddleShuswap,4,0
SDN1000,Tachie,3,0.73,Pinchi_Cr,3,0.13,Forfar,1,0.13,Hudson_Bay,1,0,Chilko,3,0
SDN1001,L_Adams,4,0.5,Little,4,0.49,Birkenhead,3,0,Chilko,3,0,L_Shuswap,4,0
SDN1002,Pitt,2,1,Birkenhead,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN988,L_Adams,4,0.87,Portage_Cr,4,0.08,Little,4,0.04,MiddleShuswap,4,0,Quesnel_Decept,3,0
SDN989,L_Adams,4,0.61,Seymour,2,0.36,Chilko,3,0.02,Portage_Cr,4,0,MiddleShuswap,4,0
SDN1003,Chilko,3,0.99,L_Horsefly,3,0,Quesnel_Horsef,3,0,Chilko_south,2,0,M_Horsefly,3,0
SDN1004,Chilko,3,0.7,L_Adams,4,0.1,Portage_Cr,4,0.09,Nadina,2,0.08,Chilko_south,2,0.02
SDN1005,Chilko,3,0.74,Tachie,3,0.09,L_Adams,4,0.07,Stellako,3,0.04,Quesnel_Decept,3,0.03
SDN1006,Seymour,2,0.96,Scotch,2,0.04,Eagle,2,0,L_Adams,4,0,NA,NA,NA
SDN1010,Chilko,3,0.98,Chilko-North,3,0.02,Chilko_south,2,0,L_Adams,4,0,Birkenhead,3,0
SDN1011,Birkenhead,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1012,Pinchi_Cr,3,0.94,Tachie,3,0.06,Stellako,3,0,NA,NA,NA,NA,NA,NA
SDN1013,Quesnel_Decept,3,0.26,Quesnel_Horsef,3,0.2,Roaring,3,0.13,M_Horsefly,3,0.12,McKinley,3,0.09
SDN1014,L_Adams,4,0.98,Little,4,0.01,Portage_Cr,4,0.01,MiddleShuswap,4,0,L_Shuswap,4,0
SDN1015,L_Adams,4,0.78,Portage_Cr,4,0.14,Little,4,0.03,Pitt,2,0.02,Chilko,3,0.01
SDN1016,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1041,Chilko,3,0.95,Chilko_south,2,0.05,Chilko-North,3,0,NA,NA,NA,NA,NA,NA
SDN1042,Sandpoint,1,0.45,Sinta,1,0.27,Blackwater,1,0.09,Narrows,1,0.07,Hudson_Bay,1,0.04
SDN1043,Chilko,3,0.81,L_Adams,4,0.04,Sandpoint,1,0.03,Quesnel_Horsef,3,0.02,Little,4,0.02
SDN1058,Middle,3,0.95,Sandpoint,1,0.02,Little,4,0.01,L_Adams,4,0,Narrows,1,0
SDN1059,Quesnel_Horsef,3,0.39,L_Adams,4,0.33,Chilko,3,0.19,Bowron,2,0.05,Horsefly,3,0.03
SDN1060,Weaver,4,0.54,Pitt,2,0.1,Middle,3,0.07,Chilko,3,0.07,Sandpoint,1,0.05
SDN1007,Quesnel_Decept,3,0.98,M_Horsefly,3,0.01,U_Horsefly,3,0.01,Chilko,3,0,NA,NA,NA
SDN1008,Pitt,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1017,Chilko,3,0.86,Quesnel_Decept,3,0.09,Little,4,0.02,L_Adams,4,0.01,Chilko-North,3,0
SDN1018,Birkenhead,3,1,Weaver,4,0,Amback,18,0,Washwash,18,0,Iskut,14,0
SDN1019,Chilko,3,0.63,L_Adams,4,0.32,Kuzkwa_Cr,3,0.01,Chilko_south,2,0.01,Narrows,1,0
SDN1028,Chilko,3,1,L_Adams,4,0,Chilko_south,2,0,NA,NA,NA,NA,NA,NA
SDN1029,L_Adams,4,0.79,Thompson_N,2,0.08,Chilko,3,0.08,U_Horsefly,3,0.02,L_Horsefly,3,0.01
SDN1030,Chilko,3,0.98,Chilko_south,2,0.02,L_Adams,4,0,Kynock,1,0,NA,NA,NA
SDN1031,Chilko,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1044,L_Adams,4,0.94,Scotch,2,0.03,Chilko,3,0.02,Middle,3,0,Seymour,2,0
SDN1020,Seymour,2,0.94,Scotch,2,0.03,L_Adams,4,0.02,Little,4,0,Birkenhead,3,0
SDN1021,Chilko,3,0.85,Pinchi_Cr,3,0.09,Weaver,4,0.05,Hudson_Bay,1,0,Tachie,3,0
SDN1022,Pitt,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1032,Chilko,3,0.93,Kuzkwa_Cr,3,0.02,Middle,3,0.02,Stellako,3,0,Chilko_south,2,0
SDN1033,Chilko,3,0.59,U_Horsefly,3,0.19,Chilko_south,2,0.18,L_Adams,4,0.03,Chilko-North,3,0.01
SDN1034,Chilko,3,0.99,Chilko-North,3,0.01,Mitchell,3,0,Middle,3,0,Chilko_south,2,0
SDN1035,Chilko,3,0.98,U_Horsefly,3,0.01,Chilko_south,2,0.01,Horsefly,3,0,Middle,3,0
SDN1036,L_Adams,4,0.7,Thompson_N,2,0.22,Seymour,2,0.05,Scotch,2,0.02,Little,4,0.01
SDN1037,Chilko,3,1,Chilko_south,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1045,L_Adams,4,0.8,Chilko,3,0.15,U_Horsefly,3,0.02,Thompson_N,2,0.01,Little,4,0.01
SDN1023,Weaver,4,0.85,L_Adams,4,0.09,Scotch,2,0.03,Thompson_N,2,0.01,Seymour,2,0.01
SDN1024,Chilko,3,0.99,L_Adams,4,0.01,Seymour,2,0,Chilko_south,2,0,Chilko-North,3,0
SDN1025,L_Adams,4,0.87,Portage_Cr,4,0.08,Little,4,0.04,Seymour,2,0.01,Scotch,2,0
SDN1026,Birkenhead,3,0.86,Big_Silver,4,0.07,Weaver,4,0.03,Pitt,2,0.01,Portage_Cr,4,0.01
SDN1038,Mitchell,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1039,Mitchell,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1040,L_Adams,4,0.95,Scotch,2,0.03,Little,4,0.01,Weaver,4,0.01,MiddleShuswap,4,0
SDN1046,Chilko,3,1,Mitchell,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1047,Chilko,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1048,Chilko,3,0.99,Chilko_south,2,0.01,Chilko-North,3,0,Middle,3,0,Stellako,3,0
SDN1061,Quesnel_Horsef,3,0.53,Chilko,3,0.28,Horsefly,3,0.06,Chilko_south,2,0.05,Sandpoint,1,0.03
SDN1062,Seymour,2,0.95,L_Adams,4,0.04,Scotch,2,0.01,NA,NA,NA,NA,NA,NA
SDN1063,Chilko,3,0.94,L_Adams,4,0.03,Chilko_south,2,0.01,Chilko-North,3,0,Little,4,0
SDN1064,Chilko,3,1,Chilko_south,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1065,Pitt,2,0.73,Weaver,4,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1076,Middle,3,0.92,Sandpoint,1,0.02,Porter_Cr,1,0.02,Gluskie,1,0.01,Hudson_Bay,1,0.01
SDN1077,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1078,Chilko,3,0.41,Quesnel_Horsef,3,0.27,Wasko_Cr,3,0.19,L_Adams,4,0.05,Little,4,0.05
SDN1079,Pitt,2,1,Birkenhead,3,0,Wasko_Cr,3,0,Blackwater,1,0,NA,NA,NA
SDN1326,Middle,3,0.64,Kuzkwa_Cr,3,0.16,Sandpoint,1,0.06,Porter_Cr,1,0.03,Stellako,3,0.02
SDN1327,U_Horsefly,3,0.91,Thompson_N,2,0.07,L_Horsefly,3,0.01,L_Adams,4,0,Horsefly,3,0
SDN1328,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1344,U_Horsefly,3,0.97,Chilko,3,0.01,Horsefly,3,0.01,L_Adams,4,0.01,L_Horsefly,3,0
SDN1345,Chilko,3,1,L_Adams,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1346,Chilko,3,0.62,Stellako,3,0.19,Kuzkwa_Cr,3,0.09,Middle,3,0.08,U_Horsefly,3,0.02
SDN1363,Middle,3,0.46,Porter_Cr,1,0.12,Gluskie,1,0.07,Chilko,3,0.07,Sandpoint,1,0.07
SDN1364,Mitchell,3,0.99,Chilko,3,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1366,Chilko,3,0.78,Thompson_N,2,0.2,Chilko_south,2,0.01,Kuzkwa_Cr,3,0.01,Stellako,3,0.01
SDN1049,Chilko,3,1,Chilko_south,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1050,Thompson_N,2,0.58,Raft,2,0.37,Chilko,3,0.02,Quesnel_Horsef,3,0.01,Fennell,2,0.01
SDN1051,Chilko,3,0.88,Chilko_south,2,0.08,Chilko-North,3,0.03,L_Adams,4,0,Middle,3,0
SDN1052,L_Adams,4,0.4,Chilko,3,0.28,Little,4,0.15,Scotch,2,0.07,Seymour,2,0.05
SDN1053,Quesnel_Mitche,3,1,Mitchell,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1066,L_Adams,4,0.9,Little,4,0.08,Raft,2,0,Sinta,1,0,Banks,15,0
SDN1067,Quesnel_Mitche,3,0.99,Mitchell,3,0,Blue_Lead_Ck,3,0,NA,NA,NA,NA,NA,NA
SDN1068,Pitt,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1080,Quesnel_Horsef,3,0.62,L_Horsefly,3,0.37,M_Horsefly,3,0,Little,4,0,U_Horsefly,3,0
SDN1081,L_Adams,4,0.7,Little,4,0.18,Seymour,2,0.05,Scotch,2,0.05,MiddleShuswap,4,0.01
SDN1054,Quesnel_Mitche,3,0.99,Mitchell,3,0.01,Blue_Lead_Ck,3,0,NA,NA,NA,NA,NA,NA
SDN1055,L_Adams,4,0.8,Seymour,2,0.08,Horsefly,3,0.07,Little,4,0.03,Eagle_L,4,0
SDN1056,Chilko,3,0.98,Chilko_south,2,0.01,L_Adams,4,0.01,Quesnel_Horsef,3,0,Little,4,0
SDN1057,L_Adams,4,0.74,Little,4,0.2,Seymour,2,0.04,Scotch,2,0.02,Thompson_N,2,0
SDN1069,Quesnel_Mitche,3,0.99,Mitchell,3,0.01,Blue_Lead_Ck,3,0,NA,NA,NA,NA,NA,NA
SDN1070,Weaver,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1071,U_Horsefly,3,0.99,Horsefly,3,0.01,L_Horsefly,3,0,NA,NA,NA,NA,NA,NA
SDN1072,Chilko,3,0.99,L_Adams,4,0,Thompson_N,2,0,Raft,2,0,NA,NA,NA
SDN1082,Chilko,3,0.96,U_Horsefly,3,0.02,L_Adams,4,0.01,Horsefly,3,0.01,Middle,3,0
SDN1083,Chilko_south,2,0.82,L_Adams,4,0.12,Chilko,3,0.03,Little,4,0.02,Quesnel_Horsef,3,0
SDN1073,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1074,Middle,3,0.87,Chilko,3,0.05,Weaver,4,0.03,Kuzkwa_Cr,3,0.02,Stellako,3,0.01
SDN1075,Scotch,2,1,L_Adams,4,0,Chilko,3,0,NA,NA,NA,NA,NA,NA
SDN1084,Wasko_Cr,3,0.67,Chilko_south,2,0.19,Quesnel_Mitche,3,0.09,Thompson_N,2,0.02,Quesnel_Horsef,3,0.01
SDN1085,L_Adams,4,0.7,Little,4,0.24,MiddleShuswap,4,0.02,Eagle_L,4,0.01,Portage_Cr,4,0.01
SDN1086,Chilko,3,0.53,L_Adams,4,0.45,Wasko_Cr,3,0.01,L_Shuswap,4,0,Roaring,3,0
SDN1094,Scotch,2,0.5,L_Adams,4,0.28,Little,4,0.09,Seymour,2,0.08,Blackwater,1,0.03
SDN1095,Chilko,3,0.93,Chilko_south,2,0.05,Chilko-North,3,0.02,L_Adams,4,0,Quesnel_Horsef,3,0
SDN1096,Quesnel_Horsef,3,0.96,Chilko,3,0.02,Chilko_south,2,0.02,Horsefly,3,0,L_Adams,4,0
SDN1087,Quesnel_Horsef,3,0.94,Seymour,2,0.05,Chilko,3,0.01,L_Adams,4,0,L_Horsefly,3,0
SDN1088,Blackwater,1,1,Sinta,1,0,Kynock,1,0,Paula,1,0,FiveMile,1,0
SDN1089,L_Adams,4,0.84,Little,4,0.09,Scotch,2,0.03,Portage_Cr,4,0.02,Pitt,2,0
SDN1098,L_Adams,4,0.28,Thompson_N,2,0.25,Raft,2,0.24,Chilko_south,2,0.23,Birkenhead,3,0
SDN1099,Birkenhead,3,0.91,Thompson_N,2,0.08,L_Adams,4,0.01,Portage_Cr,4,0,Dust,1,0
SDN1100,Phillips,6,1,PorcupineSloug,14,0,Wannock,18,0,ChilkootLkBeach,20,0,BearSlough,16,0
SDN1101,Chilko_south,2,0.75,Chilko,3,0.24,L_Adams,4,0.01,Chilko-North,3,0,Raft,2,0
SDN1108,Chilko,3,0.94,Chilko_south,2,0.04,Quesnel_Horsef,3,0.01,Pinchi_Cr,3,0.01,NA,NA,NA
SDN1109,Pitt,2,1,Scud,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1110,Quesnel_Mitche,3,0.93,Wasko_Cr,3,0.06,Roaring,3,0.01,Mitchell,3,0.01,Blue_Lead_Ck,3,0
SDN1090,Quesnel_Horsef,3,0.6,L_Horsefly,3,0.39,Raft,2,0.01,M_Horsefly,3,0,U_Horsefly,3,0
SDN1091,Scotch,2,0.88,L_Adams,4,0.07,Seymour,2,0.04,Little,4,0.01,Chilko_south,2,0
SDN1092,Blackwater,1,0.72,Chilko_south,2,0.14,Sinta,1,0.05,Chilko,3,0.05,Dust,1,0.01
SDN1093,Wasko_Cr,3,0.73,Quesnel_Horsef,3,0.1,Quesnel_Mitche,3,0.07,L_Horsefly,3,0.05,Chilko,3,0.03
SDN1102,Chilko_south,2,0.81,Chilko,3,0.19,Portage_Cr,4,0,Chilko-North,3,0,L_Adams,4,0
SDN1103,Chilko,3,0.9,Chilko_south,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1111,Chilko_south,2,0.61,Pinchi_Cr,3,0.21,Chilko,3,0.17,Middle,3,0.01,Quesnel_Horsef,3,0
SDN1112,Quesnel_Mitche,3,0.99,Mitchell,3,0.01,Wasko_Cr,3,0,Blue_Lead_Ck,3,0,NA,NA,NA
SDN1113,Chilko_south,2,0.53,Chilko,3,0.46,Chilko-North,3,0,L_Adams,4,0,Little,4,0
SDN1118,U_Horsefly,3,0.99,L_Horsefly,3,0.01,Chilko,3,0,NA,NA,NA,NA,NA,NA
SDN1104,Chilko,3,0.96,L_Adams,4,0.01,Chilko-North,3,0.01,Quesnel_Horsef,3,0.01,Chilko_south,2,0.01
SDN1105,Birkenhead,3,0.63,Chilko_south,2,0.32,LakeWashington,5,0.02,L_Adams,4,0.02,Chilko,3,0.01
SDN1106,Scotch,2,0.99,Seymour,2,0.01,L_Adams,4,0,NA,NA,NA,NA,NA,NA
SDN1119,Chilko,3,1,U_Horsefly,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1120,Chilko,3,0.97,Chilko_south,2,0.03,L_Adams,4,0,NA,NA,NA,NA,NA,NA
SDN1121,Scotch,2,0.97,Seymour,2,0.02,L_Shuswap,4,0,Birkenhead,3,0,NA,NA,NA
SDN1122,Blackwater,1,0.98,Nadina,2,0.01,Sandpoint,1,0,Dust,1,0,Rossette,1,0
SDN1123,Quesnel_Horsef,3,0.6,L_Horsefly,3,0.33,Chilko,3,0.04,L_Adams,4,0.01,Little,4,0.01
SDN1124,Quesnel_Horsef,3,0.51,L_Horsefly,3,0.36,Wasko_Cr,3,0.05,L_Adams,4,0.02,Little,4,0.01
SDN1139,Chilko,3,0.8,Chilko_south,2,0.16,Porter_Cr,1,0.02,Kuzkwa_Cr,3,0.01,Narrows,1,0
SDN1347,Chilko,3,0.96,U_Horsefly,3,0.03,Chilko_south,2,0.01,NA,NA,NA,NA,NA,NA
SDN1348,Chilko,3,0.97,Chilko_south,2,0.01,Birkenhead,3,0.01,Pitt,2,0,L_Adams,4,0
SDN1349,Mitchell,3,1,Quesnel_Mitche,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1350,Mitchell,3,0.99,Roaring,3,0,L_Adams,4,0,Blue_Lead_Ck,3,0,Thompson_N,2,0
SDN1367,Chilko,3,1,Middle,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1368,Kuzkwa_Cr,3,0.39,Chilko,3,0.33,Pinchi_Cr,3,0.16,Chilko_south,2,0.06,Tachie,3,0.04
SDN1369,Porter_Cr,1,0.59,Kuzkwa_Cr,3,0.2,Pinchi_Cr,3,0.05,Stellako,3,0.04,Narrows,1,0.03
SDN1107,Chilko_south,2,0.68,Chilko,3,0.31,Wasko_Cr,3,0,Blackwater,1,0,Thompson_N,2,0
SDN1114,Pinchi_Cr,3,0.9,Middle,3,0.06,Baker_Lake,5,0.03,Quesnel_Horsef,3,0.01,Pitt,2,0
SDN1115,Blackwater,1,0.64,Sinta,1,0.24,Sandpoint,1,0.07,Kynock,1,0.03,FiveMile,1,0.01
SDN1116,U_Horsefly,3,0.99,L_Horsefly,3,0,Thompson_N,2,0,Horsefly,3,0,McKinley,3,0
SDN1125,U_Horsefly,3,0.97,L_Adams,4,0.02,L_Horsefly,3,0.01,Horsefly,3,0,NA,NA,NA
SDN1126,Chilko,3,0.93,Mitchell,3,0.03,L_Adams,4,0.02,Middle,3,0.02,Chilko_south,2,0.01
SDN1127,Quesnel_Horsef,3,0.57,L_Horsefly,3,0.2,Wasko_Cr,3,0.11,L_Adams,4,0.06,Little,4,0.03
SDN1128,Quesnel_Horsef,3,0.61,L_Horsefly,3,0.38,M_Horsefly,3,0,U_Horsefly,3,0,Horsefly,3,0
SDN1129,L_Adams,4,0.86,Chilko_south,2,0.11,Chilko,3,0.01,Eagle_L,4,0,Little,4,0
SDN1130,Thompson_N,2,0.26,Raft,2,0.21,Chilko_south,2,0.11,Chilko,3,0.11,L_Adams,4,0.11
SDN1117,Chilko,3,0.66,U_Horsefly,3,0.17,Middle,3,0.11,Stellako,3,0.05,Horsefly,3,0
SDN1131,L_Adams,4,1,Chilko,3,0,Little,4,0,NA,NA,NA,NA,NA,NA
SDN1132,L_Adams,4,0.94,U_Horsefly,3,0.05,Little,4,0,L_Horsefly,3,0,Pitt,2,0
SDN1133,Chilko,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1134,Scotch,2,0.99,Seymour,2,0.01,L_Adams,4,0,Eagle_L,4,0,MiddleShuswap,4,0
SDN1140,Thompson_N,2,0.49,Birkenhead,3,0.34,Chilko,3,0.11,L_Horsefly,3,0.04,Pinchi_Cr,3,0.01
SDN1141,Thompson_N,2,0.95,Chilko,3,0.04,Portage_Cr,4,0.01,NA,NA,NA,NA,NA,NA
SDN1142,Chilko,3,1,Chilko_south,2,0,Portage_Cr,4,0,L_Shuswap,4,0,Middle,3,0
SDN1143,Quesnel_Horsef,3,0.92,Roaring,3,0.04,U_Horsefly,3,0.02,Horsefly,3,0.01,M_Horsefly,3,0.01
SDN1144,Pitt,2,1,Birkenhead,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1135,Bowron,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1136,Chilko,3,0.28,Chilko_south,2,0.17,Scotch,2,0.13,Quesnel_Horsef,3,0.12,L_Horsefly,3,0.09
SDN1137,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1145,Chilko,3,0.94,Chilko_south,2,0.05,Mitchell,3,0,Kuzkwa_Cr,3,0,Tachie,3,0
SDN1146,Mitchell,3,1,Blue_Lead_Ck,3,0,Wasko_Cr,3,0,NA,NA,NA,NA,NA,NA
SDN1147,Chilko,3,0.74,Chilko_south,2,0.25,Pinchi_Cr,3,0,Thompson_N,2,0,Rossette,1,0
SDN1148,Pitt,2,1,Yonakina,16,0,Craig,14,0,Tuskwa,16,0,NA,NA,NA
SDN1149,Quesnel_Horsef,3,0.68,L_Shuswap,4,0.11,Stellako,3,0.07,L_Adams,4,0.06,Portage_Cr,4,0.02
SDN1150,Pitt,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1151,L_Adams,4,0.71,Little,4,0.28,MiddleShuswap,4,0,Dust,1,0,Seymour,2,0
SDN1138,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN1152,Chilko,3,0.71,Kuzkwa_Cr,3,0.12,Pinchi_Cr,3,0.06,Chilko_south,2,0.04,Porter_Cr,1,0.02
SDN1153,Chilko,3,0.99,Quesnel_Horsef,3,0.01,Narrows,1,0.01,Rossette,1,0,Chilko-North,3,0
SDN1154,Quesnel_Horsef,3,0.72,Roaring,3,0.16,Chilko,3,0.06,Narrows,1,0.02,Wasko_Cr,3,0.01
SDN1155,Chilko_south,2,0.71,Chilko,3,0.29,Quesnel_Horsef,3,0,Chilko-North,3,0,Thompson_N,2,0
