seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,seine_comments
DN365,DE264,2,targeted,13,14:20:00,50.208559,-125.355064,0,2,0,9,0,9,0,1,0,0,NA,NA,1,Released fish due to more fish in the area.
DN366,DE266,NA,NA,23,08:15:00,50.348167,-125.455619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,None
DN367,DE267,NA,targeted,38,09:50:00,50.393263,-125.373514,30,500,0,0,3,6,0,1,6,9,NA,NA,1,"Had to end sampling to prevent drifting onto rocks. (Could not sample more CU, HE, or CO)"
DN368,DE268,NA,NA,20,12:59:00,50.4512,-125.397111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2 Scans: 1: Shoal Bay + Godwin Pt (10 min), 2: Bickley Bay (10 min)"
DN369,DE269,1,targeted,22,06:20:00,50.020465,-124.917743,0,2,0,0,0,50,0,0,0,0,NA,NA,1,"First set 06:20 mostly chum fry. Set on dimpling 2 and a single slider event(1) resume search 06:48, second set 06:58-targeted set."
DN370,DE269,2,targeted,22,06:58:00,50.020465,-124.917743,30,200,3,3,5,10,0,0,0,0,NA,NA,1,"First set 06:20 mostly chum fry. Set on dimpling 2 and a single slider event(1) resume search 06:48, second set 06:58-targeted set."
DN371,DE271,NA,NA,25,11:28:00,49.935861,-125.175185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1 single slider seen, nothing else"
DN372,DE272,2,targeted,27,12:51:00,49.990151,-125.160818,0,0,0,0,0,0,0,0,0,0,NA,NA,1,Resume search 13:05 after first set.
DN373,DE272,1,targeted,27,13:15:00,49.990151,-125.160818,0,0,0,0,0,0,0,0,0,0,NA,NA,1,set surface activity only recorded once. Unclear which set it's for.
DN374,DE274,NA,targeted,25,06:56:00,50.319977,-125.042165,30,100,3,3,8,8,1,1,0,0,NA,NA,1,NA
DN375,DE275,NA,targeted,10,10:52:00,50.241361,-125.119113,30,600,10,20,10,20,1,1,0,0,NA,NA,1,morst in MS222 waste by accident
