container_id,container_type,current_location,storage_unit,group_box,storage_shelf,storage_tray,date_shipped,shipped_to,date_received,expecting_return?,date_returned,comments
BCA28,carcass,UBC,Chest Freezer 1,GBCAR2,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA29,carcass,UBC,Chest Freezer 1,GBCAR2,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA30,carcass,UBC,Chest Freezer 1,GBCAR3,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA31,carcass,UBC,Chest Freezer 1,GBCAR3,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA32,carcass,UBC,Chest Freezer 1,GBCAR3,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA33,carcass,UBC,Chest Freezer 1,GBCAR3,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA34,carcass,UBC,Chest Freezer 1,GBCAR3,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA35,carcass,UBC,Chest Freezer 1,GBCAR3,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA36,carcass,UBC,Chest Freezer 1,GBCAR4,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA37,carcass,UBC,Chest Freezer 1,GBCAR4,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA38,carcass,UBC,Chest Freezer 1,GBCAR4,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA39,carcass,UBC,Chest Freezer 1,GBCAR4,NA,NA,2016-03-22,UBC,2016-03-22,NA,NA,NA
BCA40,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA41,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA42,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA43,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA44,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA45,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA46,carcass,UBC,Chest Freezer 1,GBCAR5,1,NA,2017-09-05,UBC,2017-09-05,NA,NA,NA
BCA47,carcass,UBC,Chest Freezer 1,GBCAR5,1,NA,2017-09-05,UBC,2017-09-05,NA,NA,NA
BCA49,carcass,UBC,Chest Freezer 1,GBCAR5,1,NA,2017-09-05,UBC,2017-09-05,NA,NA,NA
BCA50,carcass,UBC,Chest Freezer 1,GBCAR5,1,NA,2017-09-05,UBC,2017-09-05,NA,NA,NA
BCA51,carcass,UBC,Chest Freezer 1,GBCAR5,1,NA,2017-09-05,UBC,2017-09-05,NA,NA,NA
BCA52,carcass,UBC,Chest Freezer 1,GBCAR5,1,NA,2017-09-05,UBC,2017-09-05,NA,NA,NA
BCA53,carcass,UBC,Chest Freezer 1,GBCAR5,1,NA,2017-09-05,UBC,2017-09-05,NA,NA,NA
BCA54,carcass,UBC,Chest Freezer 1,GBCAR5,1,NA,2017-09-05,UBC,2017-09-05,NA,NA,NA
BCA55,carcass,UBC,Chest Freezer 1,GBCAR5,1,NA,2017-09-05,UBC,2017-09-05,NA,NA,NA
BCA56,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA48,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA57,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA58,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA59,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA60,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA61,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA62,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA63,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA64,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA65,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA66,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA67,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA68,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA69,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA70,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA71,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA72,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA73,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA74,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA75,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCA76,carcass,Quadra Prep Lab,Chest Freezer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDNSO3,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO4,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO5,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO6,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO7,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO8,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO9,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO10,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO11,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO12,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO13,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO14,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,NA,NA,NA,Pacific Biological Station,NA,NA,NA,subsampled
BDNSO1,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,1,NA,NA,NA,NA,NA,NA
BDNSO2,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,1,NA,NA,NA,NA,NA,NA
BDNSO15,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,1,NA,NA,NA,NA,NA,NA
BDNCO3,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,2,NA,NA,NA,NA,NA,NA
BDNCO4,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,2,NA,NA,NA,NA,NA,NA
BDNCU3,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,2,NA,NA,NA,NA,NA,NA
BDNCU4,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,2,NA,NA,NA,NA,NA,NA
BDNCU5,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,2,NA,NA,NA,NA,NA,NA
BDNCO1,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,3,NA,NA,NA,NA,NA,NA
BDNCU1,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,3,NA,NA,NA,NA,NA,NA
BDNCU2,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,3,NA,NA,NA,NA,NA,NA
BDNPI1,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,3,NA,NA,NA,NA,NA,NA
BDNPI2,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,4,NA,NA,NA,NA,NA,NA
BDNPI3,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,4,NA,NA,NA,NA,NA,NA
BDNHE2,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,4,NA,NA,NA,NA,NA,HE1 empty
BDNHE3,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,4,NA,NA,NA,NA,NA,NA
BDNSO20,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,1,NA,NA,NA,NA,NA,Contains samples from fish not part of current database version
BDNSO17,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,1,NA,NA,NA,NA,NA,Contains samples from fish not part of current database version
BDNSO16,DNA,Pacific Biological Station,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shipping box containing subsamples from BDNSO3-14
BDNCU7,DNA,Quadra Prep Lab,In Use,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDNPI4,DNA,Quadra Prep Lab,Back End Shelving Unit,NA,3,4,NA,NA,NA,NA,NA,NA
BFASO7,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,1,NA,NA,NA,NA,NA,NA
BFASO24,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,1,NA,NA,NA,NA,NA,NA
BFASO26,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,1,NA,NA,NA,NA,NA,NA
BFASO27,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,1,NA,NA,NA,NA,NA,NA
BFASO28,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,1,NA,NA,NA,NA,NA,NA
BFASO13,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,1,NA,NA,NA,NA,NA,NA
BFASO4,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,2,NA,NA,NA,NA,NA,NA
BFASO14,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,2,NA,NA,NA,NA,NA,NA
BFASO2,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,2,NA,NA,NA,NA,NA,NA
BFASO25,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,2,NA,NA,NA,NA,NA,NA
BFASO6,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,3,NA,NA,NA,NA,NA,NA
BFASO11,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,3,NA,NA,NA,NA,NA,NA
BFASO10,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,3,NA,NA,NA,NA,NA,NA
BFASO23,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,3,NA,NA,NA,NA,NA,NA
BFASO21,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,3,NA,NA,NA,NA,NA,NA
BFASO17,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,4,NA,NA,NA,NA,NA,NA
BFASO5,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,4,NA,NA,NA,NA,NA,NA
BFASO22,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,4,NA,NA,NA,NA,NA,NA
BFASO19,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,4,NA,NA,NA,NA,NA,NA
BFASO3,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,4,NA,NA,NA,NA,NA,NA
BFASO1,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,5,NA,NA,NA,NA,NA,NA
BFASO15,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,5,NA,NA,NA,NA,NA,NA
BFASO20,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,5,NA,NA,NA,NA,NA,NA
BFASO18,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,5,NA,NA,NA,NA,NA,NA
BFASO12,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,5,NA,NA,NA,NA,NA,NA
BFASO16,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,6,NA,NA,NA,NA,NA,NA
BFASO9,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,6,NA,NA,NA,NA,NA,NA
BFASO8,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,6,NA,NA,NA,NA,NA,NA
BFASO29,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,6,NA,NA,NA,NA,NA,NA
BFASO30,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,6,NA,NA,NA,NA,NA,NA
BFASO31,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,7,NA,NA,NA,NA,NA,NA
BFAPI1,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,7,NA,NA,NA,NA,NA,NA
BFACU3,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,7,NA,NA,NA,NA,NA,NA
BFASO33,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,7,NA,NA,NA,NA,NA,NA
BFACU2,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,7,NA,NA,NA,NA,NA,NA
BFASO32,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,8,NA,NA,NA,NA,NA,NA
BFASO35,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,8,NA,NA,NA,NA,NA,NA
BFASO34,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,8,NA,NA,NA,NA,NA,NA
BFASO36,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,8,NA,NA,NA,NA,NA,NA
BFASO39,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,8,NA,NA,NA,NA,NA,NA
BFASO40,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,9,NA,NA,NA,NA,NA,NA
BFASO38,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,9,NA,NA,NA,NA,NA,NA
BFASO41,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,9,NA,NA,NA,NA,NA,NA
BFASO37,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,9,NA,NA,NA,NA,NA,NA
BFAPI2,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,9,NA,NA,NA,NA,NA,NA
BFACO3,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,10,NA,NA,NA,NA,NA,NA
BFACU4,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,10,NA,NA,NA,NA,NA,NA
BFAPI3,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,10,NA,NA,NA,NA,NA,NA
BFACU5,fatty acid,UBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFAPI4,fatty acid,UBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFACO4,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,11,NA,NA,NA,NA,NA,NA
BFAHE1,fatty acid,UBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFAHE2,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,11,NA,NA,NA,NA,NA,NA
BFACU6,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,11,NA,NA,NA,NA,NA,NA
BFASO39,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,8,NA,NA,NA,NA,NA,NA
BFAPI5,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,11,NA,NA,NA,NA,NA,NA
BFAPI1,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,7,NA,NA,NA,NA,NA,NA
BFACU7,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,12,NA,NA,NA,NA,NA,NA
BFACU1,fatty acid,Missing,Missing,NA,Missing,Missing,NA,NA,NA,NA,NA,"Box might not exist, since only one sample (SFA987) is recorded to have been in here"
BFAPI6,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,13,NA,NA,NA,NA,NA,NA
BFACU8,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,12,NA,NA,NA,NA,NA,NA
BFAPI7,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,12,NA,NA,NA,NA,NA,NA
BFAPI8,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,13,NA,NA,NA,NA,NA,NA
BFACU10,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,13,NA,NA,NA,NA,NA,NA
BFAHE3,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,10,NA,NA,NA,NA,NA,NA
BFACO5,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,2,NA,NA,NA,NA,NA,NA
BFASO40,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,13,NA,NA,NA,NA,NA,NA
BFA100,fatty acid,UBC,NA,GBFA1,NA,NA,2017-09-04,UBC,2017-09-04,N,NA,New boxes made with mixed species from 2015 and 2016
BFA101,fatty acid,UBC,NA,GBFA1,NA,NA,2017-09-04,UBC,2017-09-04,N,NA,New boxes made with mixed species from 2015 and 2016
BFA102,fatty acid,UBC,NA,GBFA1,NA,NA,2017-09-04,UBC,2017-09-04,N,NA,New boxes made with mixed species from 2015 and 2016
BFA103,fatty acid,UBC,NA,GBFA1,NA,NA,2017-09-04,UBC,2017-09-04,N,NA,New boxes made with mixed species from 2015 and 2016
BFA104,fatty acid,UBC,NA,GBFA1,NA,NA,2017-09-04,UBC,2017-09-04,N,NA,New boxes made with mixed species from 2015 and 2016
BFA105,fatty acid,UBC,NA,GBFA2,NA,NA,2017-09-04,UBC,2017-09-04,N,NA,New boxes made with mixed species from 2015 and 2016
BFACU9,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,12,NA,NA,NA,NA,NA,NA
BFACU11,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,10,NA,NA,NA,NA,NA,NA
BFASO41,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,10,NA,NA,NA,NA,NA,NA
BFASO42,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,9,NA,NA,NA,NA,NA,NA
BFASO43,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,11,NA,NA,NA,NA,NA,NA
BFASO44,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,14,NA,NA,NA,NA,NA,NA
BFASO45,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,15,NA,NA,NA,NA,NA,NA
BFASO99,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,14,NA,NA,NA,NA,NA,"Sam's 24-hour study, 2017"
BFASO46,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,15,NA,NA,NA,NA,NA,NA
BFASO48,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,15,NA,NA,NA,NA,NA,NA
BFASO47,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,15,NA,NA,NA,NA,NA,NA
BFASO49,fatty acid,Quadra Prep Lab,Upright Freezer 2,NA,5,16,NA,NA,NA,NA,NA,NA
DW1,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW2,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW3,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW4,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW5,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW6,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW7,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW8,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW9,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW10,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW11,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW12,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW13,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW14,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW15,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW16,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW17,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW18,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW19,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW20,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW21,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW22,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW23,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW24,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW25,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW26,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW27,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW28,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW29,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW30,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW31,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW32,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW33,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW34,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW35,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW36,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW37,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
DW38,fin clip,Quadra Prep Lab,Back End Shelving Unit,NA,3,NA,NA,NA,NA,NA,NA,NA
