ufn,sample_type,sample_id,storage_medium,container_id,container_cell,sample_location,qaqc,comments_sample,sample_status,quality_log
U4,otolith,SOT9,Dry,BOTCU1,A4,BOTCU1-A4,TRUE,One otolith smaller than the other (broken?),NA,NA
U4,scale,U4,Dry,BSC1,8,BSC1-8,TRUE,NA,NA,NA
U4,carcass,U4,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U4,sealice,SSL9,Formalin,BSLCU1,7,BSLCU1-7,TRUE,NA,NA,NA
U5,isotope,SIS10,Frozen -20,BISCU1,9,BISCU1-9,TRUE,NA,NA,NA
U5,genetic_stock_id,SDN10,95 % Non-Denatured Ethanol,BDNCU1,5,BDNCU1-5,TRUE,NA,NA,NA
U5,stomach,SST10,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
U5,otolith,SOT10,Dry,BOTCU1,A5,BOTCU1-A5,TRUE,NA,NA,NA
U5,carcass,U5,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U5,sealice,SSL10,Formalin,BSLCU1,9,BSLCU1-9,TRUE,NA,NA,NA
U7,isotope,SIS17,Frozen -20,BISSO1,1,BISSO1-1,TRUE,NA,NA,NA
U7,genetic_stock_id,SDN17,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U7,stomach,SST17,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
U7,otolith,SOT17,Dry,BOTSO2,A1,BOTSO2-A1,TRUE,NA,NA,NA
U7,scale,U7,Dry,BSC2,2,BSC2-2,TRUE,NA,NA,NA
U7,carcass,U7,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U7,sealice,SSL17,Formalin,BSLSO1,3,BSLSO1-3,TRUE,NA,NA,NA
U8,isotope,SIS18,Frozen -20,BISCU1,23,BISCU1-23,TRUE,NA,NA,NA
U8,genetic_stock_id,SDN18,95 % Non-Denatured Ethanol,BDNCU1,7,BDNCU1-7,TRUE,NA,NA,NA
U8,stomach,SST18,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
U8,otolith,SOT18,Dry,BOTCU2,A6,BOTCU2-A6,TRUE,NA,NA,NA
U8,scale,U8,Dry,BSC1,12,BSC1-12,TRUE,NA,NA,NA
U8,carcass,U8,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U8,sealice,SSL18,Formalin,BSLCU1,23,BSLCU1-23,TRUE,NA,NA,NA
U9,isotope,SIS19,Frozen -20,BISCU1,25,BISCU1-25,TRUE,NA,NA,NA
U9,genetic_stock_id,SDN19,95 % Non-Denatured Ethanol,BDNCU1,8,BDNCU1-8,TRUE,NA,NA,NA
U9,stomach,SST19,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
U9,otolith,SOT19,Dry,BOTCU2,A7,BOTCU2-A7,TRUE,NA,NA,NA
U9,scale,U9,Dry,BSC1,13,BSC1-13,TRUE,NA,NA,NA
U9,carcass,U9,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U9,sealice,SSL19,Formalin,BSLCU1,25,BSLCU1-25,TRUE,NA,NA,NA
U10,isotope,SIS20,Frozen -20,BISSO1,9,BISSO1-9,TRUE,NA,NA,NA
U10,genetic_stock_id,SDN20,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U10,stomach,SST20,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
U10,otolith,SOT20,Dry,BOTSO2,A3,BOTSO2-A3,TRUE,NA,NA,NA
U10,scale,U10,Dry,BSC2,5,BSC2-5,TRUE,NA,NA,NA
U10,carcass,U10,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U10,sealice,SSL20,Formalin,BSLSO1,12,BSLSO1-12,TRUE,NA,NA,NA
U11,isotope,SIS2,Frozen -20,BISCU1,12,BISCU1-12,TRUE,NA,NA,NA
U11,genetic_stock_id,SDN2,95 % Non-Denatured Ethanol,BDNCU1,11,BDNCU1-11,TRUE,NA,NA,NA
U11,stomach,SST2,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U11,otolith,SOT2,Dry,BOTCU2,A1,BOTCU2-A1,TRUE,NA,NA,NA
U11,scale,U11,Dry,BSC1,2,BSC1-2,TRUE,NA,NA,NA
U11,carcass,U11,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U11,sealice,SSL2,Formalin,BSLCU1,12,BSLCU1-12,TRUE,NA,NA,NA
U12,isotope,SIS3,Frozen -20,BISCU1,14,BISCU1-14,TRUE,NA,NA,NA
U12,genetic_stock_id,SDN3,95 % Non-Denatured Ethanol,BDNCU1,12,BDNCU1-12,TRUE,NA,NA,NA
U12,stomach,SST3,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U12,otolith,SOT3,Dry,BOTCU2,A2,BOTCU2-A2,TRUE,1 broken otolith,NA,NA
U12,scale,U12,Dry,BSC1,4,BSC1-4,TRUE,NA,NA,NA
U12,carcass,U12,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U12,sealice,SSL3,Formalin,BSLCU1,14,BSLCU1-14,TRUE,NA,NA,NA
U13,isotope,SIS5,Frozen -20,BISCU1,16,BISCU1-16,TRUE,NA,NA,NA
U13,genetic_stock_id,SDN5,95 % Non-Denatured Ethanol,BDNCU1,13,BDNCU1-13,TRUE,NA,NA,NA
U13,stomach,SST5,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U13,otolith,SOT5,Dry,BOTCU2,A3,BOTCU2-A3,TRUE,NA,NA,NA
U13,scale,U13,Dry,BSC1,5,BSC1-5,TRUE,NA,NA,NA
U13,carcass,U13,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U13,sealice,SSL5,Formalin,BSLCU1,16,BSLCU1-16,TRUE,NA,NA,NA
U14,isotope,SIS7,Frozen -20,BISCU1,18,BISCU1-18,TRUE,NA,NA,NA
U14,genetic_stock_id,SDN7,95 % Non-Denatured Ethanol,BDNCU1,14,BDNCU1-14,TRUE,NA,NA,NA
U14,stomach,SST7,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U14,otolith,SOT7,Dry,BOTCU2,A4,BOTCU2-A4,TRUE,NA,NA,NA
U14,scale,U14,Dry,BSC1,7,BSC1-7,TRUE,NA,NA,NA
U14,carcass,U14,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U14,sealice,SSL7,Formalin,BSLCU1,18,BSLCU1-18,TRUE,NA,NA,NA
U15,isotope,SIS8,Frozen -20,BISCU1,20,BISCU1-20,TRUE,NA,NA,NA
U15,genetic_stock_id,SDN8,95 % Non-Denatured Ethanol,BDNCU1,15,BDNCU1-15,TRUE,NA,NA,NA
U15,stomach,SST8,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U15,otolith,SOT8,Dry,BOTCU2,A5,BOTCU2-A5,TRUE,NA,NA,NA
U15,scale,U15,Dry,BSC1,9,BSC1-9,TRUE,NA,NA,NA
U15,carcass,U15,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U15,sealice,SSL8,Formalin,BSLCU1,20,BSLCU1-20,TRUE,NA,NA,NA
U16,isotope,SIS12,Frozen -20,BISSO1,3,BISSO1-3,TRUE,NA,NA,NA
U16,genetic_stock_id,SDN12,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U16,stomach,SST12,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U16,otolith,SOT12,Dry,BOTSO2,A2,BOTSO2-A2,TRUE,NA,NA,NA
U16,scale,U16,Dry,BSC2,1,BSC2-1,TRUE,NA,NA,NA
U16,carcass,U16,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U16,sealice,SSL12,Formalin,BSLSO1,1,BSLSO1-1,TRUE,1 louse taken seems to be different species?,NA,NA
U17,isotope,SIS21,Frozen -20,BISSO1,12,BISSO1-12,TRUE,NA,NA,NA
U17,genetic_stock_id,SDN21,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U17,stomach,SST21,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U17,otolith,SOT21,Dry,BOTSO2,A4,BOTSO2-A4,TRUE,NA,NA,NA
U17,scale,U17,Dry,BSC2,6,BSC2-6,TRUE,NA,NA,NA
U17,carcass,U17,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U17,sealice,SSL21,Formalin,BSLSO1,9,BSLSO1-9,TRUE,NA,NA,NA
U18,isotope,SIS32,Frozen -20,BISCU1,38,BISCU1-38,TRUE,NA,NA,NA
U18,genetic_stock_id,SDN32,95 % Non-Denatured Ethanol,BDNCU1,20,BDNCU1-20,TRUE,NA,NA,NA
U18,stomach,SST32,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U18,otolith,SOT32,Dry,BOTCU2,A10,BOTCU2-A10,TRUE,NA,NA,NA
U18,scale,U18,Dry,BSC1,19,BSC1-19,TRUE,NA,NA,NA
U18,carcass,U18,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U18,sealice,SSL32,Formalin,BSLCU1,38,BSLCU1-38,TRUE,NA,NA,NA
U19,isotope,SIS40,Frozen -20,BISSO1,34,BISSO1-34,TRUE,NA,NA,NA
U19,genetic_stock_id,SDN40,95 % Non-Denatured Ethanol,BDNSO1,17,BDNSO1-17,TRUE,NA,NA,NA
U19,stomach,SST40,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U19,otolith,SOT40,Dry,BOTSO2,A9,BOTSO2-A9,TRUE,NA,NA,NA
U19,scale,U19,Dry,BSC2,19,BSC2-19,TRUE,NA,NA,NA
U19,carcass,U19,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U19,sealice,SSL40,Formalin,BSLSO1,34,BSLSO1-34,TRUE,NA,NA,NA
U20,isotope,SIS63,Frozen -20,BISSO1,89,BISSO1-89,TRUE,NA,NA,NA
U20,genetic_stock_id,SDN63,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U20,stomach,SST63,95 % Non-Denatured Ethanol,BST2,NA,BST2-NA,TRUE,NA,NA,NA
U20,otolith,SOT63,Dry,BOTSO2,A20,BOTSO2-A20,TRUE,NA,NA,NA
U20,scale,U20,Dry,BSC2,48,BSC2-48,TRUE,NA,NA,Changed from BCS1 (JG 2017-11-15)
U20,carcass,U20,Frozen -20,BCA2,NA,BCA2-NA,TRUE,NA,NA,NA
U20,sealice,SSL63,Formalin,BSLSO1,92,BSLSO1-92,TRUE,NA,NA,NA
U21,isotope,SIS13,Frozen -20,BISSO1,7,BISSO1-7,TRUE,NA,NA,NA
U21,genetic_stock_id,SDN13,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U21,stomach,SST13,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U21,otolith,SOT13,Dry,BOTSO1,A2,BOTSO1-A2,TRUE,NA,NA,NA
U21,scale,U21,Dry,BSC2,3,BSC2-3,TRUE,NA,NA,NA
U21,carcass,U21,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U21,sealice,SSL13,Formalin,BSLSO1,5,BSLSO1-5,TRUE,NA,NA,NA
U22,isotope,SIS14,Frozen -20,BISCU1,27,BISCU1-27,TRUE,NA,NA,NA
U22,genetic_stock_id,SDN14,95 % Non-Denatured Ethanol,BDNCU1,16,BDNCU1-16,TRUE,NA,NA,NA
U22,stomach,SST14,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U22,otolith,SOT14,Dry,BOTCU1,A7,BOTCU1-A7,TRUE,NA,NA,NA
U22,carcass,U22,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U22,sealice,SSL14,Formalin,BSLCU1,27,BSLCU1-27,TRUE,NA,NA,NA
U23,isotope,SIS22,Frozen -20,BISCU1,29,BISCU1-29,TRUE,NA,NA,NA
U23,genetic_stock_id,SDN22,95 % Non-Denatured Ethanol,BDNCU1,17,BDNCU1-17,TRUE,NA,NA,NA
U23,stomach,SST22,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U23,otolith,SOT22,Dry,BOTCU1,A8,BOTCU1-A8,TRUE,NA,NA,NA
U23,scale,U23,Dry,BSC1,15,BSC1-15,TRUE,NA,NA,NA
U23,carcass,U23,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U23,sealice,SSL22,Formalin,BSLCU1,29,BSLCU1-29,TRUE,NA,NA,NA
U24,isotope,SIS23,Frozen -20,BISCU1,34,BISCU1-34,TRUE,NA,NA,NA
U24,genetic_stock_id,SDN23,95 % Non-Denatured Ethanol,BDNCU1,18,BDNCU1-18,TRUE,NA,NA,NA
U24,stomach,SST23,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U24,otolith,SOT23,Dry,BOTCU1,A9,BOTCU1-A9,TRUE,NA,NA,NA
U24,scale,U24,Dry,BSC1,17,BSC1-17,TRUE,NA,NA,NA
U24,carcass,U24,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U24,sealice,SSL23,Formalin,BSLCU1,34,BSLCU1-34,TRUE,NA,NA,NA
U25,isotope,SIS24,Frozen -20,BISSO1,18,BISSO1-18,TRUE,NA,NA,NA
U25,genetic_stock_id,SDN24,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U25,stomach,SST24,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U25,otolith,SOT24,Dry,BOTSO1,A4,BOTSO1-A4,TRUE,1 otolith,NA,NA
U25,scale,U25,Dry,BSC2,9,BSC2-9,TRUE,NA,NA,NA
U25,carcass,U25,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U25,sealice,SSL24,Formalin,BSLSO1,18,BSLSO1-18,TRUE,NA,NA,NA
U26,isotope,SIS33,Frozen -20,BISSO1,25,BISSO1-25,TRUE,NA,NA,NA
U26,genetic_stock_id,SDN33,95 % Non-Denatured Ethanol,BDNSO1,12,BDNSO1-12,TRUE,NA,NA,NA
U26,stomach,SST33,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U26,otolith,SOT33,Dry,BOTSO1,A6,BOTSO1-A6,TRUE,NA,NA,NA
U26,scale,U26,Dry,BSC2,12,BSC2-12,TRUE,NA,NA,NA
U26,carcass,U26,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U26,sealice,SSL33,Formalin,BSLSO1,21,BSLSO1-21,TRUE,NA,NA,NA
U27,isotope,SIS34,Frozen -20,BISSO1,32,BISSO1-32,TRUE,NA,NA,NA
U27,genetic_stock_id,SDN34,95 % Non-Denatured Ethanol,BDNSO1,16,BDNSO1-16,TRUE,NA,NA,NA
U27,stomach,SST34,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U27,otolith,SOT34,Dry,BOTSO1,A7,BOTSO1-A7,TRUE,NA,NA,NA
U27,scale,U27,Dry,BSC2,15,BSC2-15,TRUE,NA,NA,NA
U27,carcass,U27,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U27,sealice,SSL34,Formalin,BSLSO1,27,BSLSO1-27,TRUE,NA,NA,NA
U28,isotope,SIS41,Frozen -20,BISSO1,38,BISSO1-38,TRUE,NA,NA,NA
U28,genetic_stock_id,SDN41,95 % Non-Denatured Ethanol,BDNSO1,19,BDNSO1-19,TRUE,NA,NA,NA
U28,stomach,SST41,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U28,otolith,SOT41,Dry,BOTSO1,A10,BOTSO1-A10,TRUE,NA,NA,NA
U28,scale,U28,Dry,BSC2,18,BSC2-18,TRUE,NA,NA,NA
U28,carcass,U28,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U28,sealice,SSL41,Formalin,BSLSO1,38,BSLSO1-38,TRUE,NA,NA,NA
U29,isotope,SIS42,Frozen -20,BISSO1,43,BISSO1-43,TRUE,NA,NA,NA
U29,genetic_stock_id,SDN42,95 % Non-Denatured Ethanol,BDNSO1,22,BDNSO1-22,TRUE,NA,NA,NA
U29,stomach,SST42,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U29,otolith,SOT42,Dry,BOTSO1,A11,BOTSO1-A11,TRUE,NA,NA,NA
U29,scale,U29,Dry,BSC2,21,BSC2-21,TRUE,NA,NA,NA
U29,carcass,U29,Frozen -20,BCA2,NA,BCA2-NA,TRUE,NA,NA,NA
U29,sealice,SSL42,Formalin,BSLSO1,41,BSLSO1-41,TRUE,NA,NA,NA
U30,isotope,SIS43,Frozen -20,BISSO1,49,BISSO1-49,TRUE,NA,NA,NA
U30,genetic_stock_id,SDN43,95 % Non-Denatured Ethanol,BDNSO1,25,BDNSO1-25,TRUE,NA,NA,NA
U30,stomach,SST43,95 % Non-Denatured Ethanol,BST3,NA,BST3-NA,TRUE,NA,NA,NA
U30,otolith,SOT43,Dry,BOTSO1,A13,BOTSO1-A13,TRUE,1 otolith,NA,NA
U30,scale,U30,Dry,BSC2,23,BSC2-23,TRUE,NA,NA,NA
U30,carcass,U30,Frozen -20,BCA2,NA,BCA2-NA,TRUE,NA,NA,NA
U30,sealice,SSL43,Formalin,BSLSO1,45,BSLSO1-45,TRUE,NA,NA,NA
U31,isotope,SIS15,Frozen -20,BISSO1,5,BISSO1-5,TRUE,NA,NA,NA
U31,genetic_stock_id,SDN15,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U31,stomach,SST15,95 % Non-Denatured Ethanol,BST4,NA,BST4-NA,TRUE,NA,NA,NA
U31,otolith,SOT15,Dry,BOTSO1,A1,BOTSO1-A1,TRUE,NA,NA,NA
U31,scale,U31,Dry,BSC2,4,BSC2-4,TRUE,NA,NA,NA
U31,carcass,U31,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U31,sealice,SSL15,Formalin,BSLSO1,7,BSLSO1-7,TRUE,NA,NA,NA
U32,isotope,SIS16,Frozen -20,BISCO1,1,BISCO1-1,TRUE,NA,NA,NA
U32,genetic_stock_id,SDN16,95 % Non-Denatured Ethanol,BDNCO1,1,BDNCO1-1,TRUE,NA,NA,NA
U32,stomach,SST16,95 % Non-Denatured Ethanol,BST4,NA,BST4-NA,TRUE,NA,NA,NA
U32,otolith,SOT16,Dry,BOTCO1,A1,BOTCO1-A1,TRUE,NA,NA,NA
U32,scale,U32,Dry,BSC42,1,BSC42-1,TRUE,NA,NA,NA
U32,carcass,U32,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U32,sealice,SSL16,Formalin,BSLCO1,1,BSLCO1-1,TRUE,mangled Cal. chal B,NA,NA
U33,isotope,SIS25,Frozen -20,BISCO1,3,BISCO1-3,TRUE,NA,NA,NA
U33,genetic_stock_id,SDN25,95 % Non-Denatured Ethanol,BDNCO1,2,BDNCO1-2,TRUE,NA,NA,NA
U33,stomach,SST25,95 % Non-Denatured Ethanol,BST4,NA,BST4-NA,TRUE,NA,NA,NA
U33,otolith,SOT25,Dry,BOTCO1,A2,BOTCO1-A2,TRUE,NA,NA,NA
U33,scale,U33,Dry,BSC42,2,BSC42-2,TRUE,NA,NA,NA
U33,carcass,U33,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U33,sealice,SSL25,Formalin,BSLCO1,3,BSLCO1-3,TRUE,1 Caligus Chal A severly destroyed,NA,NA
U34,isotope,SIS26,Frozen -20,BISCO1,5,BISCO1-5,TRUE,NA,NA,NA
U34,genetic_stock_id,SDN26,95 % Non-Denatured Ethanol,BDNCO1,3,BDNCO1-3,TRUE,NA,NA,NA
U34,stomach,SST26,95 % Non-Denatured Ethanol,BST4,NA,BST4-NA,TRUE,NA,NA,NA
U34,otolith,SOT26,Dry,BOTCO1,A3,BOTCO1-A3,TRUE,NA,NA,NA
U34,scale,U34,Dry,BSC42,3,BSC42-3,TRUE,NA,NA,NA
U34,carcass,U34,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U34,sealice,SSL26,Formalin,BSLCO1,5,BSLCO1-5,TRUE,NA,NA,NA
U35,isotope,SIS27,Frozen -20,BISSO1,16,BISSO1-16,TRUE,NA,NA,NA
U35,genetic_stock_id,SDN27,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U35,stomach,SST27,95 % Non-Denatured Ethanol,BST4,NA,BST4-NA,TRUE,NA,NA,NA
U35,otolith,SOT27,Dry,BOTSO1,A3,BOTSO1-A3,TRUE,NA,NA,NA
U35,scale,U35,Dry,BSC2,7,BSC2-7,TRUE,NA,NA,NA
U35,carcass,U35,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U35,sealice,SSL27,Formalin,BSLSO1,14,BSLSO1-14,TRUE,1 otolith,NA,NA
U36,isotope,SIS28,Frozen -20,BISCU1,36,BISCU1-36,TRUE,NA,NA,NA
U36,genetic_stock_id,SDN28,95 % Non-Denatured Ethanol,BDNCU1,10,BDNCU1-10,TRUE,NA,NA,NA
U36,stomach,SST28,95 % Non-Denatured Ethanol,BST4,NA,BST4-NA,TRUE,NA,NA,NA
U36,otolith,SOT28,Dry,BOTCU1,A10,BOTCU1-A10,TRUE,NA,NA,NA
U36,scale,U36,Dry,BSC1,18,BSC1-18,TRUE,NA,NA,NA
U36,carcass,U36,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U36,sealice,SSL28,Formalin,BSLCU1,36,BSLCU1-36,TRUE,NA,NA,NA
U37,isotope,SIS35,Frozen -20,BISSO1,21,BISSO1-21,TRUE,NA,NA,NA
U37,genetic_stock_id,SDN35,95 % Non-Denatured Ethanol,BDNSO1,13,BDNSO1-13,TRUE,NA,NA,NA
U37,stomach,SST35,95 % Non-Denatured Ethanol,BST4,NA,BST4-NA,TRUE,NA,NA,NA
U37,otolith,SOT35,Dry,BOTSO1,A5,BOTSO1-A5,TRUE,NA,NA,NA
U37,carcass,U37,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U37,sealice,SSL35,Formalin,BSLSO1,23,BSLSO1-23,TRUE,NA,NA,NA
U38,isotope,SIS36,Frozen -20,BISSO1,27,BISSO1-27,TRUE,NA,NA,NA
U38,genetic_stock_id,SDN36,95 % Non-Denatured Ethanol,BDNSO1,14,BDNSO1-14,TRUE,NA,NA,NA
U38,stomach,SST36,95 % Non-Denatured Ethanol,BST4,NA,BST4-NA,TRUE,NA,NA,NA
U38,otolith,SOT36,Dry,BOTSO1,A8,BOTSO1-A8,TRUE,NA,NA,NA
U38,carcass,U38,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U38,sealice,SSL36,Formalin,BSLSO1,29,BSLSO1-29,TRUE,NA,NA,NA
U40,isotope,SIS45,Frozen -20,BISSO1,41,BISSO1-41,TRUE,NA,NA,NA
U40,genetic_stock_id,SDN45,95 % Non-Denatured Ethanol,BDNSO1,21,BDNSO1-21,TRUE,NA,NA,NA
U40,stomach,SST45,95 % Non-Denatured Ethanol,BST4,NA,BST4-NA,TRUE,NA,NA,NA
U40,otolith,SOT45,Dry,BOTSO1,A12,BOTSO1-A12,TRUE,NA,NA,NA
U40,scale,U40,Dry,BSC2,22,BSC2-22,TRUE,NA,NA,NA
U40,carcass,U40,Frozen -20,BCA2,NA,BCA2-NA,TRUE,NA,NA,NA
U40,sealice,SSL45,Formalin,BSLSO1,43,BSLSO1-43,TRUE,NA,NA,NA
U41,isotope,SIS29,Frozen -20,BISCU1,32,BISCU1-32,TRUE,NA,NA,NA
U41,genetic_stock_id,SDN29,95 % Non-Denatured Ethanol,BDNCU1,9,BDNCU1-9,TRUE,NA,NA,NA
U41,stomach,SST29,95 % Non-Denatured Ethanol,BST1,NA,BST1-NA,TRUE,NA,NA,NA
U41,otolith,SOT29,Dry,BOTCU2,A8,BOTCU2-A8,TRUE,NA,NA,NA
U41,scale,U41,Dry,BSC1,16,BSC1-16,TRUE,NA,NA,NA
U41,carcass,U41,Frozen -20,BCA1,NA,BCA1-NA,TRUE,NA,NA,NA
U41,sealice,SSL29,Formalin,BSLCU1,32,BSLCU1-32,TRUE,NA,NA,NA
U42,isotope,SIS30,Frozen -20,BISSO1,14,BISSO1-14,TRUE,NA,NA,NA
